candidate,groups,feature_count,weights,score,games,accuracy,roc_auc,log_loss,confidence_55_games,confidence_55_accuracy,confidence_60_games,confidence_60_accuracy
core+all_context,starter_quality+starter_load+bullpen_quality+handedness+context,175,"{""linear"": 0.45, ""tree"": 0.30000000000000004, ""run"": 0.25}",3.715137634873662,1255,0.5139442231075697,0.514009407702876,0.6936371441842208,608,0.5394736842105263,188,0.6329787234042553
core+starter_quality,starter_quality,122,"{""linear"": 0.7000000000000001, ""tree"": 0.05, ""run"": 0.24999999999999994}",3.5897316847782386,1255,0.5298804780876494,0.5183199946883763,0.6930451765037189,631,0.5419968304278923,219,0.5981735159817352
core+handedness+context,handedness+context,142,"{""linear"": 0.55, ""tree"": 0.2, ""run"": 0.24999999999999994}",3.584558952453829,1255,0.5282868525896415,0.5166779879160559,0.6935559294607672,640,0.5375,222,0.5990990990990991
core+handedness,handedness,134,"{""linear"": 0.45, ""tree"": 0.30000000000000004, ""run"": 0.25}",3.580358306855751,1255,0.5203187250996016,0.5128015240274366,0.6938756635774819,616,0.5422077922077922,189,0.5978835978835979
core+starter_quality+load,starter_quality+starter_load,134,"{""linear"": 0.7000000000000001, ""tree"": 0.05, ""run"": 0.24999999999999994}",3.5717593305142485,1255,0.5250996015936255,0.5185293952409894,0.6928822844871834,617,0.5445705024311183,204,0.5931372549019608
core+starter_load,starter_load,122,"{""linear"": 0.65, ""tree"": 0.1, ""run"": 0.24999999999999997}",3.5227914368809414,1255,0.5258964143426295,0.5180237695163868,0.6931294110962466,607,0.5436573311367381,203,0.5812807881773399
core,core,110,"{""linear"": 0.7000000000000001, ""tree"": 0.05, ""run"": 0.24999999999999994}",3.5126749967811004,1255,0.5314741035856574,0.5181718821023816,0.6932671652849541,637,0.5416012558869702,228,0.5789473684210527
core+bullpen_quality,bullpen_quality,119,"{""linear"": 0.7000000000000001, ""tree"": 0.05, ""run"": 0.24999999999999994}",3.476597307111295,1255,0.5282868525896415,0.5166473439327467,0.6937077117594693,632,0.5490506329113924,236,0.5677966101694916
core+pitching,starter_quality+starter_load+bullpen_quality,143,"{""linear"": 0.7000000000000001, ""tree"": 0.05, ""run"": 0.24999999999999994}",3.465856027861792,1255,0.5243027888446216,0.5163664407524119,0.6933248235584925,611,0.5515548281505729,209,0.5645933014354066
core+starter_quality+bullpen,starter_quality+bullpen_quality,131,"{""linear"": 0.7000000000000001, ""tree"": 0.05, ""run"": 0.24999999999999994}",3.462845173500117,1255,0.5274900398406375,0.5163025991205177,0.6935737613411266,625,0.5456,228,0.5657894736842105
core+context,context,118,"{""linear"": 0.7000000000000001, ""tree"": 0.05, ""run"": 0.24999999999999994}",3.4358754161412737,1255,0.5250996015936255,0.5182919043703428,0.6934364261325046,633,0.5402843601895735,230,0.5608695652173913
