candidate,fold,train_games,train_to,validation_from,validation_to,games,accuracy,roc_auc,log_loss,confidence_55_games,confidence_55_wins,confidence_55_accuracy,confidence_55_lcb,confidence_60_games,confidence_60_wins,confidence_60_accuracy,confidence_60_lcb,score
v9,1,932,2024-06-30 23:10:00+00:00,2024-07-01 19:07:00+00:00,2024-09-29 19:20:00+00:00,1150,0.5252173913043479,0.5436923756585098,0.6971119932150814,705,381,0.5404255319148936,0.5035175099850093,290,156,0.5379310344827586,0.48042756057293057,2.553956544592138
strength_C0.01,1,932,2024-06-30 23:10:00+00:00,2024-07-01 19:07:00+00:00,2024-09-29 19:20:00+00:00,1150,0.5243478260869565,0.5612818891252447,0.6888636879506557,644,360,0.5590062111801242,0.5204210230412278,218,135,0.6192660550458715,0.5532698506765957,2.8689818201124444
strength_C0.1,1,932,2024-06-30 23:10:00+00:00,2024-07-01 19:07:00+00:00,2024-09-29 19:20:00+00:00,1150,0.5339130434782609,0.5656119413824092,0.6882507440904858,665,372,0.5593984962406015,0.5214306495778542,325,192,0.5907692307692308,0.536554079572638,2.806463010160684
strength_starter_C0.01,1,932,2024-06-30 23:10:00+00:00,2024-07-01 19:07:00+00:00,2024-09-29 19:20:00+00:00,1150,0.5269565217391304,0.5704927060859777,0.6885296264905241,684,385,0.5628654970760234,0.5254428049738685,285,172,0.6035087719298246,0.5457015817800573,2.8470823229696123
strength_starter_C0.1,1,932,2024-06-30 23:10:00+00:00,2024-07-01 19:07:00+00:00,2024-09-29 19:20:00+00:00,1150,0.5243478260869565,0.5672701305067462,0.6915255871569118,740,411,0.5554054054054054,0.5194070359510286,405,245,0.6049382716049383,0.5565541827926718,2.8823692540597485
compact_C0.01,1,932,2024-06-30 23:10:00+00:00,2024-07-01 19:07:00+00:00,2024-09-29 19:20:00+00:00,1150,0.528695652173913,0.5703444373504074,0.6884662796043783,679,386,0.5684830633284241,0.530946217982335,290,172,0.593103448275862,0.5357027646057092,2.8129064821242014
compact_C0.1,1,932,2024-06-30 23:10:00+00:00,2024-07-01 19:07:00+00:00,2024-09-29 19:20:00+00:00,1150,0.5269565217391304,0.5675817974407,0.6914873525624505,754,418,0.5543766578249337,0.5187121645903625,406,243,0.5985221674876847,0.5501306570876306,2.8566031660084312
v9,2,2082,2024-09-29 19:20:00+00:00,2025-03-18 10:10:00+00:00,2025-06-30 23:35:00+00:00,1245,0.5654618473895582,0.5606457219877496,0.6844793061516516,329,202,0.6139817629179332,0.560347587770654,10,8,0.8,0.49015684672072346,2.6653651994974545
strength_C0.01,2,2082,2024-09-29 19:20:00+00:00,2025-03-18 10:10:00+00:00,2025-06-30 23:35:00+00:00,1245,0.5670682730923695,0.5793647902496396,0.6808302480015773,619,369,0.5961227786752827,0.5569899523509708,178,118,0.6629213483146067,0.5906854978168498,3.07078898571142
strength_C0.1,2,2082,2024-09-29 19:20:00+00:00,2025-03-18 10:10:00+00:00,2025-06-30 23:35:00+00:00,1245,0.5734939759036145,0.5827552470115582,0.6802272684861391,699,416,0.5951359084406295,0.558321930741291,248,161,0.6491935483870968,0.5879334057652601,3.0635354693892936
strength_starter_C0.01,2,2082,2024-09-29 19:20:00+00:00,2025-03-18 10:10:00+00:00,2025-06-30 23:35:00+00:00,1245,0.5646586345381526,0.5719515812590746,0.6832798563673785,721,424,0.5880721220527045,0.5517711851959808,283,177,0.6254416961130742,0.5677235873634799,2.970526764661778
strength_starter_C0.1,2,2082,2024-09-29 19:20:00+00:00,2025-03-18 10:10:00+00:00,2025-06-30 23:35:00+00:00,1245,0.5622489959839357,0.575706323475075,0.6833946537894846,777,453,0.583011583011583,0.5480167724578172,368,226,0.6141304347826086,0.5634575056801249,2.9503295606597297
compact_C0.01,2,2082,2024-09-29 19:20:00+00:00,2025-03-18 10:10:00+00:00,2025-06-30 23:35:00+00:00,1245,0.5622489959839357,0.5669140338369145,0.6852145299583748,716,415,0.5796089385474861,0.5431210737007661,294,177,0.6020408163265306,0.5451192364217028,2.8690791227437638
compact_C0.1,2,2082,2024-09-29 19:20:00+00:00,2025-03-18 10:10:00+00:00,2025-06-30 23:35:00+00:00,1245,0.5606425702811245,0.5704736231310855,0.6856202066518735,771,447,0.5797665369649806,0.5446134748598787,372,222,0.5967741935483871,0.546180748451588,2.8754830283314066
v9,3,3327,2025-06-30 23:35:00+00:00,2025-07-01 00:05:00+00:00,2025-09-28 19:20:00+00:00,1155,0.5177489177489177,0.5199616215498618,0.6910941583298581,466,258,0.5536480686695279,0.5082566354357316,86,54,0.627906976744186,0.5223363580204515,2.7189215058663074
strength_C0.01,3,3327,2025-06-30 23:35:00+00:00,2025-07-01 00:05:00+00:00,2025-09-28 19:20:00+00:00,1155,0.5489177489177489,0.5604943337476919,0.6843481285142452,570,328,0.5754385964912281,0.5344886798030787,148,96,0.6486486486486487,0.5688607590114603,2.9509939400539285
strength_C0.1,3,3327,2025-06-30 23:35:00+00:00,2025-07-01 00:05:00+00:00,2025-09-28 19:20:00+00:00,1155,0.5575757575757576,0.5660248132369448,0.683385081361575,592,353,0.5962837837837838,0.5562618340945095,197,127,0.6446700507614214,0.575651779562885,3.0035145315599694
strength_starter_C0.01,3,3327,2025-06-30 23:35:00+00:00,2025-07-01 00:05:00+00:00,2025-09-28 19:20:00+00:00,1155,0.5558441558441558,0.5546470510143738,0.6856557721126615,610,345,0.5655737704918032,0.5259481988497531,232,143,0.6163793103448276,0.5523933690743082,2.8759534671975975
strength_starter_C0.1,3,3327,2025-06-30 23:35:00+00:00,2025-07-01 00:05:00+00:00,2025-09-28 19:20:00+00:00,1155,0.548051948051948,0.5591456570800999,0.6851818430117942,635,364,0.573228346456693,0.5344305478590159,277,165,0.5956678700361011,0.5369463498596252,2.822533665429577
compact_C0.01,3,3327,2025-06-30 23:35:00+00:00,2025-07-01 00:05:00+00:00,2025-09-28 19:20:00+00:00,1155,0.5489177489177489,0.556363822879832,0.6857743223908708,618,356,0.5760517799352751,0.5367369490445718,247,155,0.6275303643724697,0.5657153729697066,2.9391362730927235
