game_pk,venue_id,context_source,is_day_game,park_factor,park_run_factor,weather_temp_c,weather_humidity,weather_precip_mm,weather_wind_kmh,weather_wind_dir
744795,3309,previous_day1,0.0,103.0,106.0,22.5,91.0,0.0,8.7,114.0
744796,3309,previous_day1,1.0,103.0,106.0,26.1,79.0,0.0,11.0,212.0
744797,3309,previous_day1,0.0,103.0,106.0,23.9,83.0,0.0,20.9,93.0
744798,3309,previous_day1,1.0,103.0,106.0,21.6,92.0,0.0,8.8,19.0
744799,3309,previous_day1,1.0,103.0,106.0,27.8,47.0,0.0,12.0,201.0
744800,3309,previous_day1,0.0,103.0,106.0,26.6,49.0,0.0,9.6,77.0
744801,3309,previous_day1,1.0,103.0,106.0,27.1,51.0,0.0,16.6,68.0
744802,3309,previous_day1,0.0,103.0,106.0,18.8,91.0,0.0,6.5,90.0
744803,3309,previous_day1,1.0,103.0,106.0,29.3,40.0,0.0,13.9,73.0
744804,3309,previous_day1,0.0,103.0,106.0,27.1,35.0,0.0,12.8,100.0
744805,3309,previous_day1,0.0,103.0,106.0,25.5,35.0,0.0,7.2,90.0
744806,3309,previous_day1,1.0,103.0,106.0,27.7,66.0,0.0,10.3,258.0
744807,3309,previous_day1,0.0,103.0,106.0,27.2,34.0,0.0,6.3,336.0
744808,3309,previous_day1,1.0,103.0,106.0,29.2,67.0,0.0,12.6,175.0
744809,3309,previous_day1,0.0,103.0,106.0,36.8,30.0,0.0,8.9,256.0
744810,3309,previous_day1,0.0,103.0,106.0,27.4,65.0,0.0,10.8,88.0
744811,3309,previous_day1,0.0,103.0,106.0,32.1,31.0,0.0,12.9,113.0
744812,3309,previous_day1,0.0,103.0,106.0,22.8,30.0,0.0,14.3,321.0
744813,3309,previous_day1,0.0,103.0,106.0,26.8,70.0,0.0,4.7,270.0
744814,3309,previous_day1,0.0,103.0,106.0,20.9,41.0,0.0,16.6,333.0
744815,3309,previous_day1,1.0,103.0,106.0,26.1,30.0,0.0,11.9,299.0
744816,3309,previous_day1,1.0,103.0,106.0,25.3,61.0,0.0,4.6,18.0
744817,3309,previous_day1,0.0,103.0,106.0,33.0,45.0,0.0,19.8,164.0
744818,3309,previous_day1,0.0,103.0,106.0,27.0,85.0,0.0,17.0,216.0
744819,3309,previous_day1,1.0,103.0,106.0,25.4,90.0,0.0,9.4,88.0
744820,3309,previous_day1,0.0,103.0,106.0,29.4,55.0,0.0,13.8,332.0
744821,3309,previous_day1,0.0,103.0,106.0,34.5,31.0,0.0,9.3,193.0
744822,3309,previous_day1,0.0,103.0,106.0,29.4,65.0,0.0,18.7,90.0
744823,3309,previous_day1,1.0,103.0,106.0,35.9,34.0,0.0,23.8,200.0
744824,3309,previous_day1,0.0,103.0,106.0,26.6,76.0,0.0,8.6,202.0
744825,3309,previous_day1,0.0,103.0,106.0,32.7,46.0,0.0,13.7,315.0
744826,3309,previous_day1,1.0,103.0,106.0,30.8,53.0,0.0,10.0,210.0
744827,3309,previous_day1,1.0,103.0,106.0,29.1,60.0,0.0,5.2,214.0
744828,3309,previous_day1,0.0,103.0,106.0,31.5,45.0,0.0,8.8,348.0
744829,3309,previous_day1,0.0,103.0,106.0,23.6,81.0,12.2,18.8,183.0
744830,3309,previous_day1,0.0,103.0,106.0,28.8,57.0,0.0,17.7,160.0
744831,3309,previous_day1,1.0,103.0,106.0,35.6,30.0,0.0,4.3,270.0
744832,3309,previous_day1,1.0,103.0,106.0,37.0,26.0,0.0,5.1,315.0
744833,3309,previous_day1,1.0,103.0,106.0,37.6,34.0,0.0,13.4,160.0
744834,3309,previous_day1,1.0,103.0,106.0,33.1,40.0,0.0,5.2,214.0
744835,3309,previous_day1,1.0,103.0,106.0,36.8,33.0,0.0,12.9,198.0
744836,3309,previous_day1,0.0,103.0,106.0,38.5,29.0,0.0,14.6,189.0
744837,3309,previous_day1,0.0,103.0,106.0,30.6,40.0,0.0,17.8,132.0
744838,3309,previous_day1,0.0,103.0,106.0,29.6,33.0,0.0,15.4,127.0
744839,3309,previous_day1,1.0,103.0,106.0,31.4,33.0,0.0,10.5,188.0
744840,3309,previous_day1,0.0,103.0,106.0,25.6,33.0,0.0,14.4,359.0
744841,3309,previous_day1,1.0,103.0,106.0,33.0,37.0,0.0,8.4,155.0
744842,3309,previous_day1,1.0,103.0,106.0,33.9,34.0,0.0,10.7,147.0
744843,3309,previous_day1,0.0,103.0,106.0,31.9,41.0,0.0,17.1,136.0
744844,3309,previous_day1,0.0,103.0,106.0,25.2,80.0,0.0,9.8,197.0
744845,3309,previous_day1,0.0,103.0,106.0,24.8,30.0,0.0,25.3,294.0
744846,3309,previous_day1,1.0,103.0,106.0,29.9,26.0,0.0,14.3,335.0
744847,3309,previous_day1,0.0,103.0,106.0,30.2,40.0,0.0,16.3,6.0
744848,3309,previous_day1,1.0,103.0,106.0,29.5,25.0,0.0,14.9,290.0
744849,3309,previous_day1,1.0,103.0,106.0,27.6,44.0,0.0,27.9,300.0
744850,3309,previous_day1,0.0,103.0,106.0,27.7,55.0,0.0,17.1,118.0
744851,3309,previous_day1,1.0,103.0,106.0,31.2,38.0,0.0,13.4,188.0
744852,3309,previous_day1,1.0,103.0,106.0,30.8,51.0,0.0,20.4,159.0
744853,3309,previous_day1,0.0,103.0,106.0,23.6,79.0,0.0,3.2,180.0
744854,3309,previous_day1,0.0,103.0,106.0,29.3,42.0,0.0,9.0,143.0
744855,3309,previous_day1,1.0,103.0,106.0,29.6,50.0,0.0,12.8,101.0
744856,3309,previous_day1,1.0,103.0,106.0,29.9,51.0,0.0,11.6,196.0
744857,3309,previous_day1,0.0,103.0,106.0,22.6,68.0,0.0,11.9,125.0
744858,3309,previous_day1,0.0,103.0,106.0,29.8,31.0,0.0,13.8,298.0
744859,3309,previous_day1,0.0,103.0,106.0,23.0,87.0,0.0,5.0,210.0
744860,3309,previous_day1,0.0,103.0,106.0,26.2,50.0,0.0,14.1,161.0
744861,3309,previous_day1,1.0,103.0,106.0,20.0,90.0,0.4,10.9,186.0
744862,3309,previous_day1,1.0,103.0,106.0,12.3,88.0,0.0,11.6,85.0
744863,3309,previous_day1,0.0,103.0,106.0,20.7,22.0,0.0,16.7,187.0
744864,3309,previous_day1,0.0,103.0,106.0,19.8,32.0,0.0,16.1,310.0
744865,3309,previous_day1,1.0,103.0,106.0,21.1,22.0,0.0,22.6,279.0
744866,3309,previous_day1,1.0,103.0,106.0,13.4,31.0,0.0,4.9,287.0
744867,3309,previous_day1,1.0,103.0,106.0,15.2,43.0,0.0,9.8,54.0
744868,3309,previous_day1,0.0,103.0,106.0,18.4,58.0,0.0,20.9,91.0
744869,3309,previous_day1,0.0,103.0,106.0,13.4,83.0,0.0,13.3,303.0
744870,3309,previous_day1,1.0,103.0,106.0,11.0,64.0,0.0,14.3,205.0
744871,3309,previous_day1,1.0,103.0,106.0,12.7,47.0,0.0,19.5,348.0
744872,3309,previous_day1,0.0,103.0,106.0,16.9,65.0,0.0,11.2,130.0
744873,3309,previous_day1,1.0,103.0,106.0,10.6,52.0,0.0,22.7,319.0
744874,3309,previous_day1,0.0,103.0,106.0,6.3,68.0,0.0,16.6,300.0
744875,3309,previous_day1,1.0,103.0,106.0,14.6,87.0,0.0,9.7,39.0
744876,14,previous_day1,0.0,100.0,100.0,17.4,95.0,2.2,17.8,97.0
744877,14,previous_day1,0.0,100.0,100.0,20.8,84.0,0.0,15.5,185.0
744878,14,previous_day1,1.0,100.0,100.0,20.3,71.0,0.0,23.3,63.0
744879,14,previous_day1,0.0,100.0,100.0,17.4,76.0,0.0,12.5,46.0
744880,14,previous_day1,1.0,100.0,100.0,21.8,74.0,0.0,15.8,63.0
744881,14,previous_day1,1.0,100.0,100.0,22.9,44.0,0.0,7.7,118.0
744882,14,previous_day1,0.0,100.0,100.0,19.2,81.0,0.0,9.2,64.0
744883,14,previous_day1,1.0,100.0,100.0,22.8,76.0,0.0,6.4,142.0
744884,14,previous_day1,1.0,100.0,100.0,21.1,79.0,0.0,8.2,113.0
744885,14,previous_day1,0.0,100.0,100.0,18.5,92.0,0.0,12.5,44.0
744886,14,previous_day1,0.0,100.0,100.0,18.1,60.0,0.0,5.0,111.0
744887,14,previous_day1,1.0,100.0,100.0,24.8,39.0,0.0,9.4,178.0
744888,14,previous_day1,0.0,100.0,100.0,19.2,77.0,0.0,5.5,11.0
744889,14,previous_day1,0.0,100.0,100.0,23.3,46.0,0.0,15.2,176.0
744890,14,previous_day1,1.0,100.0,100.0,25.9,44.0,0.0,10.9,171.0
744891,14,previous_day1,0.0,100.0,100.0,21.0,43.0,0.0,8.7,187.0
744892,14,previous_day1,1.0,100.0,100.0,25.1,59.0,0.0,9.4,157.0
744893,14,previous_day1,0.0,100.0,100.0,19.0,50.0,0.0,9.6,347.0
744894,14,previous_day1,0.0,100.0,100.0,22.5,51.0,0.0,4.7,184.0
744895,14,previous_day1,1.0,100.0,100.0,19.1,77.0,0.4,18.1,257.0
744896,14,previous_day1,0.0,100.0,100.0,16.2,64.0,0.0,14.7,335.0
744897,14,previous_day1,1.0,100.0,100.0,24.5,35.0,0.0,24.1,250.0
744898,14,previous_day1,0.0,100.0,100.0,16.3,57.0,0.0,20.4,339.0
744899,14,previous_day1,0.0,100.0,100.0,22.7,88.0,0.0,19.0,61.0
744900,14,previous_day1,0.0,100.0,100.0,23.5,77.0,0.0,11.2,310.0
744901,14,previous_day1,0.0,100.0,100.0,18.3,79.0,0.0,9.8,62.0
744902,14,previous_day1,1.0,100.0,100.0,28.1,48.0,0.0,11.9,95.0
