game_id,game_date,season,away,home,away_score,home_score,status,stadium,home_history_games,away_history_games,elo_home_prob,home_win_r20,away_win_r20,home_run_diff_r20,away_run_diff_r20,home_runs_for_r20,away_runs_for_r20,home_runs_against_r20,away_runs_against_r20,home_days_rest,away_days_rest,diff_win_r20,diff_run_diff_r20,diff_runs_for_r20,diff_runs_against_r20,diff_days_rest,result,total_runs
20240323-Doosan_Bears-NC_Dinos,2024-03-23 14:00:00,2024,Doosan Bears,NC Dinos,3.0,4.0,Final,창원,0,0,0.5316182978281073,,,,,,,,,,,,,,,,home,7.0
20240323-Hanwha_Eagles-LG_Twins,2024-03-23 14:00:00,2024,Hanwha Eagles,LG Twins,2.0,8.0,Final,잠실,0,0,0.5316182978281073,,,,,,,,,,,,,,,,home,10.0
20240323-Kiwoom_Heroes-KIA_Tigers,2024-03-23 14:00:00,2024,Kiwoom Heroes,KIA Tigers,5.0,7.0,Final,광주,0,0,0.5316182978281073,,,,,,,,,,,,,,,,home,12.0
20240323-Lotte_Giants-SSG_Landers,2024-03-23 14:00:00,2024,Lotte Giants,SSG Landers,3.0,5.0,Final,문학,0,0,0.5316182978281073,,,,,,,,,,,,,,,,home,8.0
20240323-Samsung_Lions-KT_Wiz,2024-03-23 14:00:00,2024,Samsung Lions,KT Wiz,6.0,2.0,Final,수원,0,0,0.5316182978281073,,,,,,,,,,,,,,,,away,8.0
20240324-Doosan_Bears-NC_Dinos,2024-03-24 14:00:00,2024,Doosan Bears,NC Dinos,6.0,3.0,Final,창원,1,1,0.5604821247837853,1.0,0.0,1.0,-1.0,4.0,3.0,3.0,4.0,1.0,1.0,1.0,2.0,1.0,-1.0,0.0,away,9.0
20240324-Hanwha_Eagles-LG_Twins,2024-03-24 14:00:00,2024,Hanwha Eagles,LG Twins,8.0,4.0,Final,잠실,1,1,0.5710799088507997,1.0,0.0,6.0,-6.0,8.0,2.0,2.0,8.0,1.0,1.0,1.0,12.0,6.0,-6.0,0.0,away,12.0
20240324-Kiwoom_Heroes-KIA_Tigers,2024-03-24 14:00:00,2024,Kiwoom Heroes,KIA Tigers,,,Postponed,광주,1,1,0.5626064188786029,1.0,0.0,2.0,-2.0,7.0,5.0,5.0,7.0,1.0,1.0,1.0,4.0,2.0,-2.0,0.0,,
20240324-Lotte_Giants-SSG_Landers,2024-03-24 14:00:00,2024,Lotte Giants,SSG Landers,6.0,7.0,Final,문학,1,1,0.5626064188786029,1.0,0.0,2.0,-2.0,5.0,3.0,3.0,5.0,1.0,1.0,1.0,4.0,2.0,-2.0,0.0,home,13.0
20240324-Samsung_Lions-KT_Wiz,2024-03-24 14:00:00,2024,Samsung Lions,KT Wiz,11.0,8.0,Final,수원,1,1,0.49126625331666246,0.0,1.0,-4.0,4.0,2.0,6.0,6.0,2.0,1.0,1.0,-1.0,-8.0,-4.0,4.0,0.0,away,19.0
20240326-Doosan_Bears-KT_Wiz,2024-03-26 18:30:00,2024,Doosan Bears,KT Wiz,8.0,5.0,Final,수원,2,2,0.488487615667468,0.0,0.5,-3.5,1.0,5.0,4.5,8.5,3.5,2.0,2.0,-0.5,-4.5,0.5,5.0,0.0,away,13.0
20240326-Hanwha_Eagles-SSG_Landers,2024-03-26 18:30:00,2024,Hanwha Eagles,SSG Landers,6.0,0.0,Final,문학,2,2,0.5588757678092305,1.0,0.5,1.5,-1.0,6.0,5.0,4.5,6.0,2.0,2.0,0.5,2.5,1.0,-1.5,0.0,away,6.0
20240326-Kiwoom_Heroes-NC_Dinos,2024-03-26 18:30:00,2024,Kiwoom Heroes,NC Dinos,5.0,10.0,Final,창원,2,1,0.5417570954107553,0.5,0.0,-1.0,-2.0,3.5,5.0,4.5,7.0,2.0,3.0,0.5,1.0,-1.5,-2.5,-1.0,home,15.0
20240326-Lotte_Giants-KIA_Tigers,2024-03-26 18:30:00,2024,Lotte Giants,KIA Tigers,1.0,2.0,Final,광주,1,2,0.5759408985423093,1.0,0.0,2.0,-1.5,7.0,4.5,5.0,6.0,3.0,2.0,1.0,3.5,2.5,-1.0,1.0,home,3.0
20240326-Samsung_Lions-LG_Twins,2024-03-26 18:30:00,2024,Samsung Lions,LG Twins,3.0,4.0,Final,잠실,2,2,0.4921854648987955,0.5,1.0,1.0,3.5,6.0,8.5,5.0,5.0,2.0,2.0,-0.5,-2.5,-2.5,0.0,0.0,home,7.0
20240327-Doosan_Bears-KT_Wiz,2024-03-27 18:30:00,2024,Doosan Bears,KT Wiz,11.0,8.0,Final,수원,3,3,0.4537498586951828,0.0,0.6666666666666666,-3.3333333333333335,1.6666666666666667,5.0,5.666666666666667,8.333333333333334,4.0,1.0,1.0,-0.6666666666666666,-5.0,-0.666666666666667,4.333333333333334,0.0,away,19.0
20240327-Hanwha_Eagles-SSG_Landers,2024-03-27 18:30:00,2024,Hanwha Eagles,SSG Landers,3.0,1.0,Final,문학,3,3,0.5115343366028735,0.6666666666666666,0.6666666666666666,-1.0,1.3333333333333333,4.0,5.333333333333333,5.0,4.0,1.0,1.0,0.0,-2.333333333333333,-1.333333333333333,1.0,0.0,away,4.0
20240327-Kiwoom_Heroes-NC_Dinos,2024-03-27 18:30:00,2024,Kiwoom Heroes,NC Dinos,2.0,6.0,Final,창원,3,2,0.5781389867563431,0.6666666666666666,0.0,1.0,-3.5,5.666666666666667,5.0,4.666666666666667,8.5,1.0,1.0,0.6666666666666666,4.5,0.666666666666667,-3.833333333333333,0.0,home,8.0
20240327-Lotte_Giants-KIA_Tigers,2024-03-27 18:30:00,2024,Lotte Giants,KIA Tigers,2.0,8.0,Final,광주,2,3,0.601468323441319,1.0,0.0,1.5,-1.3333333333333333,4.5,3.3333333333333335,3.0,4.666666666666667,1.0,1.0,1.0,2.833333333333333,1.1666666666666665,-1.666666666666667,0.0,home,10.0
20240327-Samsung_Lions-LG_Twins,2024-03-27 18:30:00,2024,Samsung Lions,LG Twins,2.0,2.0,Final,잠실,3,3,0.5237376969541887,0.6666666666666666,0.6666666666666666,1.0,2.0,5.333333333333333,6.666666666666667,4.333333333333333,4.666666666666667,1.0,1.0,0.0,-1.0,-1.333333333333334,-0.3333333333333339,0.0,draw,4.0
20240328-Doosan_Bears-KT_Wiz,2024-03-28 18:30:00,2024,Doosan Bears,KT Wiz,7.0,8.0,Final,수원,4,4,0.4218738307119367,0.0,0.75,-3.25,2.0,5.75,7.0,9.0,5.0,1.0,1.0,-0.75,-5.25,-1.25,4.0,0.0,home,15.0
20240328-Hanwha_Eagles-SSG_Landers,2024-03-28 18:30:00,2024,Hanwha Eagles,SSG Landers,10.0,6.0,Final,문학,4,4,0.4773941163493625,0.5,0.75,-1.25,1.5,3.25,4.75,4.5,3.25,1.0,1.0,-0.25,-2.75,-1.5,1.25,0.0,away,16.0
20240328-Kiwoom_Heroes-NC_Dinos,2024-03-28 18:30:00,2024,Kiwoom Heroes,NC Dinos,,,Postponed,창원,4,3,0.6090592048956123,0.75,0.0,1.75,-3.6666666666666665,5.75,4.0,4.0,7.666666666666667,1.0,1.0,0.75,5.416666666666666,1.75,-3.666666666666667,0.0,,
20240328-Lotte_Giants-KIA_Tigers,2024-03-28 18:30:00,2024,Lotte Giants,KIA Tigers,,,Postponed,광주,3,4,0.6335320554635411,1.0,0.0,3.0,-2.5,5.666666666666667,3.0,2.6666666666666665,5.5,1.0,1.0,1.0,5.5,2.666666666666667,-2.8333333333333335,0.0,,
20240328-Samsung_Lions-LG_Twins,2024-03-28 18:30:00,2024,Samsung Lions,LG Twins,1.0,18.0,Final,잠실,4,4,0.5223741516192787,0.625,0.625,0.75,1.5,4.5,5.5,3.75,4.0,1.0,1.0,0.0,-0.75,-1.0,-0.25,0.0,home,19.0
20240329-KIA_Tigers-Doosan_Bears,2024-03-29 18:30:00,2024,KIA Tigers,Doosan Bears,4.0,2.0,Final,잠실,5,3,0.5069651662428394,0.6,1.0,1.4,3.0,7.0,5.666666666666667,5.6,2.6666666666666665,1.0,2.0,-0.4,-1.6,1.333333333333333,2.933333333333333,-1.0,away,6.0
20240329-KT_Wiz-Hanwha_Eagles,2024-03-29 18:30:00,2024,KT Wiz,Hanwha Eagles,2.0,3.0,Final,한밭,5,5,0.6418190205229211,0.8,0.2,2.0,-2.4,5.8,6.2,3.8,8.6,1.0,1.0,0.6000000000000001,4.4,-0.40000000000000036,-4.8,0.0,home,5.0
20240329-LG_Twins-Kiwoom_Heroes,2024-03-29 18:30:00,2024,LG Twins,Kiwoom Heroes,3.0,0.0,Final,고척,3,5,0.4463839458142761,0.0,0.7,-3.6666666666666665,4.0,4.0,7.2,7.666666666666667,3.2,2.0,1.0,-0.7,-7.666666666666666,-3.2,4.466666666666667,1.0,away,3.0
20240329-NC_Dinos-Lotte_Giants,2024-03-29 18:30:00,2024,NC Dinos,Lotte Giants,1.0,3.0,Final,사직,4,4,0.4434619622878715,0.0,0.75,-2.5,1.75,3.0,5.75,5.5,4.0,2.0,2.0,-0.75,-4.25,-2.75,1.5,0.0,home,4.0
20240329-SSG_Landers-Samsung_Lions,2024-03-29 18:30:00,2024,SSG Landers,Samsung Lions,6.0,4.0,Final,대구,5,5,0.5617655371980547,0.5,0.4,-2.2,-1.8,4.6,3.8,6.8,5.6,1.0,1.0,0.09999999999999998,-0.40000000000000013,0.7999999999999998,1.2000000000000002,0.0,away,10.0
20240330-KT_Wiz-Hanwha_Eagles,2024-03-30 14:00:00,2024,KT Wiz,Hanwha Eagles,5.0,8.0,Final,한밭,6,6,0.6620269557918863,0.8333333333333334,0.16666666666666666,1.8333333333333333,-2.1666666666666665,5.333333333333333,5.5,3.5,7.666666666666667,1.0,1.0,0.6666666666666667,4.0,-0.16666666666666696,-4.166666666666667,0.0,home,13.0
20240330-KIA_Tigers-Doosan_Bears,2024-03-30 17:00:00,2024,KIA Tigers,Doosan Bears,0.0,8.0,Final,잠실,6,4,0.4731389200654445,0.5,1.0,0.8333333333333334,2.75,6.166666666666667,5.25,5.333333333333333,2.5,1.0,1.0,-0.5,-1.9166666666666665,0.916666666666667,2.833333333333333,0.0,home,8.0
20240330-LG_Twins-Kiwoom_Heroes,2024-03-30 17:00:00,2024,LG Twins,Kiwoom Heroes,3.0,8.0,Final,고척,4,6,0.4151431424160433,0.0,0.75,-3.5,3.8333333333333335,3.0,6.5,6.5,2.6666666666666665,1.0,1.0,-0.75,-7.333333333333334,-3.5,3.8333333333333335,0.0,home,11.0
20240330-NC_Dinos-Lotte_Giants,2024-03-30 17:00:00,2024,NC Dinos,Lotte Giants,8.0,0.0,Final,사직,5,5,0.48039199818289274,0.2,0.6,-1.6,1.0,3.0,4.8,4.6,3.8,1.0,1.0,-0.39999999999999997,-2.6,-1.7999999999999998,0.7999999999999998,0.0,away,8.0
20240330-SSG_Landers-Samsung_Lions,2024-03-30 17:00:00,2024,SSG Landers,Samsung Lions,9.0,6.0,Final,대구,6,6,0.5245509896838156,0.4166666666666667,0.5,-2.1666666666666665,-1.1666666666666667,4.5,4.166666666666667,6.666666666666667,5.333333333333333,1.0,1.0,-0.08333333333333331,-0.9999999999999998,0.33333333333333304,1.333333333333334,0.0,away,15.0
20240331-KIA_Tigers-Doosan_Bears,2024-03-31 14:00:00,2024,KIA Tigers,Doosan Bears,9.0,3.0,Final,잠실,7,5,0.5216252337557581,0.5714285714285714,0.8,1.8571428571428572,0.6,6.428571428571429,4.2,4.571428571428571,3.6,1.0,1.0,-0.22857142857142865,1.2571428571428571,2.2285714285714286,0.9714285714285711,0.0,away,12.0
20240331-KT_Wiz-Hanwha_Eagles,2024-03-31 14:00:00,2024,KT Wiz,Hanwha Eagles,3.0,14.0,Final,한밭,7,7,0.6832695589648723,0.8571428571428571,0.14285714285714285,2.0,-2.2857142857142856,5.714285714285714,5.428571428571429,3.7142857142857144,7.714285714285714,1.0,1.0,0.7142857142857142,4.285714285714286,0.2857142857142856,-4.0,0.0,home,17.0
20240331-LG_Twins-Kiwoom_Heroes,2024-03-31 14:00:00,2024,LG Twins,Kiwoom Heroes,4.0,8.0,Final,고척,5,7,0.46152417364810905,0.2,0.6428571428571429,-1.8,2.5714285714285716,4.0,6.0,5.8,3.4285714285714284,1.0,1.0,-0.4428571428571429,-4.371428571428572,-2.0,2.3714285714285714,0.0,home,12.0
20240331-NC_Dinos-Lotte_Giants,2024-03-31 14:00:00,2024,NC Dinos,Lotte Giants,8.0,7.0,Final,사직,6,6,0.43648124614494627,0.16666666666666666,0.6666666666666666,-2.6666666666666665,2.1666666666666665,2.5,5.333333333333333,5.166666666666667,3.1666666666666665,1.0,1.0,-0.5,-4.833333333333333,-2.833333333333333,2.0000000000000004,0.0,away,15.0
20240331-SSG_Landers-Samsung_Lions,2024-03-31 14:00:00,2024,SSG Landers,Samsung Lions,4.0,3.0,Final,대구,7,7,0.4871310699038034,0.35714285714285715,0.5714285714285714,-2.2857142857142856,-0.5714285714285714,4.714285714285714,4.857142857142857,7.0,5.428571428571429,1.0,1.0,-0.21428571428571425,-1.7142857142857142,-0.14285714285714235,1.5714285714285712,0.0,away,7.0
20240402-Doosan_Bears-SSG_Landers,2024-04-02 18:30:00,2024,Doosan Bears,SSG Landers,6.0,13.0,Final,문학,8,8,0.548123914559138,0.625,0.5,-0.375,0.875,4.75,6.0,5.125,5.125,2.0,2.0,0.125,-1.25,-1.25,0.0,0.0,home,19.0
20240402-KIA_Tigers-KT_Wiz,2024-04-02 18:30:00,2024,KIA Tigers,KT Wiz,6.0,10.0,Final,수원,8,6,0.38207247056872407,0.125,0.8333333333333334,-3.375,1.5,5.125,5.0,8.5,3.5,2.0,2.0,-0.7083333333333334,-4.875,0.125,5.0,0.0,home,16.0
20240402-Kiwoom_Heroes-Samsung_Lions,2024-04-02 18:30:00,2024,Kiwoom Heroes,Samsung Lions,8.0,3.0,Final,대구,8,6,0.5017113299029495,0.3125,0.3333333333333333,-2.125,-0.8333333333333334,4.5,4.666666666666667,6.625,5.5,2.0,2.0,-0.020833333333333315,-1.2916666666666665,-0.16666666666666696,1.125,0.0,away,11.0
20240402-Lotte_Giants-Hanwha_Eagles,2024-04-02 18:30:00,2024,Lotte Giants,Hanwha Eagles,1.0,0.0,Final,한밭,8,7,0.6956889796526998,0.875,0.14285714285714285,3.125,-2.4285714285714284,6.75,3.142857142857143,3.625,5.571428571428571,2.0,2.0,0.7321428571428572,5.553571428571429,3.607142857142857,-1.9464285714285712,0.0,away,1.0
20240402-NC_Dinos-LG_Twins,2024-04-02 18:30:00,2024,NC Dinos,LG Twins,7.0,5.0,Final,잠실,8,7,0.49276225373325727,0.5625,0.7142857142857143,1.75,2.0,5.75,5.714285714285714,4.0,3.7142857142857144,2.0,2.0,-0.1517857142857143,-0.25,0.03571428571428559,0.2857142857142856,0.0,away,12.0
20240403-Doosan_Bears-SSG_Landers,2024-04-03 18:30:00,2024,Doosan Bears,SSG Landers,3.0,5.0,Final,문학,9,9,0.5879285711132494,0.6666666666666666,0.4444444444444444,0.4444444444444444,0.0,5.666666666666667,6.0,5.222222222222222,6.0,1.0,1.0,0.2222222222222222,0.4444444444444444,-0.33333333333333304,-0.7777777777777777,0.0,home,8.0
20240403-KIA_Tigers-KT_Wiz,2024-04-03 18:30:00,2024,KIA Tigers,KT Wiz,5.0,1.0,Final,수원,9,7,0.42728249108562366,0.2222222222222222,0.7142857142857143,-2.5555555555555554,0.7142857142857143,5.666666666666667,5.142857142857143,8.222222222222221,4.428571428571429,1.0,1.0,-0.4920634920634921,-3.2698412698412698,0.5238095238095237,3.7936507936507926,0.0,away,6.0
20240403-Kiwoom_Heroes-Samsung_Lions,2024-04-03 18:30:00,2024,Kiwoom Heroes,Samsung Lions,,,Postponed,대구,9,7,0.4613554068942987,0.2777777777777778,0.42857142857142855,-2.4444444444444446,0.0,4.333333333333333,5.142857142857143,6.777777777777778,5.142857142857143,1.0,1.0,-0.15079365079365076,-2.4444444444444446,-0.8095238095238102,1.6349206349206344,0.0,,
20240403-Lotte_Giants-Hanwha_Eagles,2024-04-03 18:30:00,2024,Lotte Giants,Hanwha Eagles,,,Postponed,한밭,9,8,0.6578773120161904,0.7777777777777778,0.25,2.6666666666666665,-2.0,6.0,2.875,3.3333333333333335,4.875,1.0,1.0,0.5277777777777778,4.666666666666666,3.125,-1.5416666666666665,0.0,,
20240403-NC_Dinos-LG_Twins,2024-04-03 18:30:00,2024,NC Dinos,LG Twins,0.0,5.0,Final,잠실,9,8,0.4599435909403844,0.5,0.75,1.3333333333333333,2.0,5.666666666666667,5.875,4.333333333333333,3.875,1.0,1.0,-0.25,-0.6666666666666667,-0.20833333333333304,0.45833333333333304,0.0,home,5.0
20240404-Doosan_Bears-SSG_Landers,2024-04-04 18:30:00,2024,Doosan Bears,SSG Landers,2.0,3.0,Final,문학,10,10,0.6143117139944513,0.7,0.4,0.6,-0.2,5.6,5.7,5.0,5.9,1.0,1.0,0.29999999999999993,0.8,-0.10000000000000053,-0.9000000000000004,0.0,home,5.0
20240404-KIA_Tigers-KT_Wiz,2024-04-04 18:30:00,2024,KIA Tigers,KT Wiz,6.0,3.0,Final,수원,10,8,0.3958431046704209,0.2,0.75,-2.7,1.125,5.2,5.125,7.9,4.0,1.0,1.0,-0.55,-3.825,0.07500000000000018,3.9000000000000004,0.0,away,9.0
20240404-Kiwoom_Heroes-Samsung_Lions,2024-04-04 18:30:00,2024,Kiwoom Heroes,Samsung Lions,10.0,1.0,Final,대구,9,7,0.4613554068942987,0.2777777777777778,0.42857142857142855,-2.4444444444444446,0.0,4.333333333333333,5.142857142857143,6.777777777777778,5.142857142857143,2.0,2.0,-0.15079365079365076,-2.4444444444444446,-0.8095238095238102,1.6349206349206344,0.0,away,11.0
