game_id,game_date,season,away,home,away_score,home_score,status,stadium,away_starter,home_starter,home_history_games,away_history_games,elo_home_prob,home_days_rest,away_days_rest,home_win_r5,away_win_r5,home_run_diff_r5,away_run_diff_r5,home_runs_for_r5,away_runs_for_r5,home_runs_against_r5,away_runs_against_r5,home_bat_avg_r5,away_bat_avg_r5,home_bullpen_era_r5,away_bullpen_era_r5,home_bullpen_whip_r5,away_bullpen_whip_r5,home_win_r10,away_win_r10,home_run_diff_r10,away_run_diff_r10,home_runs_for_r10,away_runs_for_r10,home_runs_against_r10,away_runs_against_r10,home_bat_avg_r10,away_bat_avg_r10,home_bullpen_era_r10,away_bullpen_era_r10,home_bullpen_whip_r10,away_bullpen_whip_r10,home_win_r20,away_win_r20,home_run_diff_r20,away_run_diff_r20,home_runs_for_r20,away_runs_for_r20,home_runs_against_r20,away_runs_against_r20,home_bat_avg_r20,away_bat_avg_r20,home_bullpen_era_r20,away_bullpen_era_r20,home_bullpen_whip_r20,away_bullpen_whip_r20,home_bullpen_pitches_r3,away_bullpen_pitches_r3,home_home_win_r10,away_away_win_r10,h2h_home_win_r10,park_total_factor,home_starter_starts,home_starter_era_r5,home_starter_whip_r5,home_starter_k9_r5,home_starter_bb9_r5,home_starter_hr9_r5,home_starter_last_np,home_starter_days_rest,away_starter_starts,away_starter_era_r5,away_starter_whip_r5,away_starter_k9_r5,away_starter_bb9_r5,away_starter_hr9_r5,away_starter_last_np,away_starter_days_rest,diff_win_r5,diff_win_r10,diff_win_r20,diff_run_diff_r5,diff_run_diff_r10,diff_run_diff_r20,diff_runs_for_r5,diff_runs_for_r10,diff_runs_for_r20,diff_runs_against_r5,diff_runs_against_r10,diff_runs_against_r20,diff_bat_avg_r5,diff_bat_avg_r10,diff_bullpen_era_r5,diff_bullpen_era_r10,diff_bullpen_whip_r5,diff_bullpen_whip_r10,diff_bullpen_pitches_r3,diff_days_rest,diff_starter_era_r5,diff_starter_whip_r5,diff_starter_k9_r5,diff_starter_bb9_r5,diff_starter_hr9_r5,diff_starter_last_np,diff_starter_days_rest,diff_starter_starts,result,total_runs
20240323-Doosan_Bears-NC_Dinos,2024-03-23 14:00:00,2024,Doosan Bears,NC Dinos,3.0,4.0,Final,창원,알칸타라,하트,0,0,0.5316182978281073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,home,7.0
20240323-Hanwha_Eagles-LG_Twins,2024-03-23 14:00:00,2024,Hanwha Eagles,LG Twins,2.0,8.0,Final,잠실,류현진,엔스,0,0,0.5316182978281073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,home,10.0
20240323-Kiwoom_Heroes-KIA_Tigers,2024-03-23 14:00:00,2024,Kiwoom Heroes,KIA Tigers,5.0,7.0,Final,광주,후라도,크로우,0,0,0.5316182978281073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,home,12.0
20240323-Lotte_Giants-SSG_Landers,2024-03-23 14:00:00,2024,Lotte Giants,SSG Landers,3.0,5.0,Final,문학,윌커슨,김광현,0,0,0.5316182978281073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,home,8.0
20240323-Samsung_Lions-KT_Wiz,2024-03-23 14:00:00,2024,Samsung Lions,KT Wiz,6.0,2.0,Final,수원,코너,쿠에바스,0,0,0.5316182978281073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,away,8.0
20240324-Doosan_Bears-NC_Dinos,2024-03-24 14:00:00,2024,Doosan Bears,NC Dinos,6.0,3.0,Final,창원,브랜든,신민혁,1,1,0.5604821247837853,1.0,1.0,1.0,0.0,1.0,-1.0,4.0,3.0,3.0,4.0,0.20588235294117646,0.24242424242424243,9.0,18.0,3.0,5.5,1.0,0.0,1.0,-1.0,4.0,3.0,3.0,4.0,0.20588235294117646,0.24242424242424243,9.0,18.0,3.0,5.5,1.0,0.0,1.0,-1.0,4.0,3.0,3.0,4.0,0.20588235294117646,0.24242424242424243,9.0,18.0,3.0,5.5,36.0,80.0,1.0,0.0,1.0,0.7777777777777778,0,,,,,,,,0,,,,,,,,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,-0.03654188948306597,-0.03654188948306597,-9.0,-9.0,-2.5,-2.5,-44.0,0.0,,,,,,,,0.0,away,9.0
20240324-Hanwha_Eagles-LG_Twins,2024-03-24 14:00:00,2024,Hanwha Eagles,LG Twins,8.0,4.0,Final,잠실,페냐,임찬규,1,1,0.5710799088507997,1.0,1.0,1.0,0.0,6.0,-6.0,8.0,2.0,2.0,8.0,0.3142857142857143,0.21875,,10.125,0.0,3.375,1.0,0.0,6.0,-6.0,8.0,2.0,2.0,8.0,0.3142857142857143,0.21875,,10.125,0.0,3.375,1.0,0.0,6.0,-6.0,8.0,2.0,2.0,8.0,0.3142857142857143,0.21875,,10.125,0.0,3.375,31.0,80.0,1.0,0.0,1.0,1.1111111111111112,0,,,,,,,,0,,,,,,,,1.0,1.0,1.0,12.0,12.0,12.0,6.0,6.0,6.0,-6.0,-6.0,-6.0,0.09553571428571428,0.09553571428571428,,,-3.375,-3.375,-49.0,0.0,,,,,,,,0.0,away,12.0
20240324-Kiwoom_Heroes-KIA_Tigers,2024-03-24 14:00:00,2024,Kiwoom Heroes,KIA Tigers,,,Postponed,광주,,,1,1,0.5626064188786029,1.0,1.0,1.0,0.0,2.0,-2.0,7.0,5.0,5.0,7.0,0.35135135135135137,0.20588235294117646,,,0.6666666666666666,1.5,1.0,0.0,2.0,-2.0,7.0,5.0,5.0,7.0,0.35135135135135137,0.20588235294117646,,,0.6666666666666666,1.5,1.0,0.0,2.0,-2.0,7.0,5.0,5.0,7.0,0.35135135135135137,0.20588235294117646,,,0.6666666666666666,1.5,48.0,79.0,1.0,0.0,1.0,1.2727272727272727,0,,,,,,,,0,,,,,,,,1.0,1.0,1.0,4.0,4.0,4.0,2.0,2.0,2.0,-2.0,-2.0,-2.0,0.1454689984101749,0.1454689984101749,,,-0.8333333333333334,-0.8333333333333334,-31.0,0.0,,,,,,,,0.0,,
20240324-Lotte_Giants-SSG_Landers,2024-03-24 14:00:00,2024,Lotte Giants,SSG Landers,6.0,7.0,Final,문학,박세웅,엘리아스,1,1,0.5626064188786029,1.0,1.0,1.0,0.0,2.0,-2.0,5.0,3.0,3.0,5.0,0.26666666666666666,0.25,,3.8571428571428577,2.1,1.7142857142857144,1.0,0.0,2.0,-2.0,5.0,3.0,3.0,5.0,0.26666666666666666,0.25,,3.8571428571428577,2.1,1.7142857142857144,1.0,0.0,2.0,-2.0,5.0,3.0,3.0,5.0,0.26666666666666666,0.25,,3.8571428571428577,2.1,1.7142857142857144,80.0,49.0,1.0,0.0,1.0,0.8484848484848485,0,,,,,,,,0,,,,,,,,1.0,1.0,1.0,4.0,4.0,4.0,2.0,2.0,2.0,-2.0,-2.0,-2.0,0.016666666666666663,0.016666666666666663,,,0.3857142857142857,0.3857142857142857,31.0,0.0,,,,,,,,0.0,home,13.0
20240324-Samsung_Lions-KT_Wiz,2024-03-24 14:00:00,2024,Samsung Lions,KT Wiz,11.0,8.0,Final,수원,레예스,엄상백,1,1,0.49126625331666246,1.0,1.0,0.0,1.0,-4.0,4.0,2.0,6.0,6.0,2.0,0.14705882352941177,0.275,13.500000000000002,,3.6000000000000005,1.25,0.0,1.0,-4.0,4.0,2.0,6.0,6.0,2.0,0.14705882352941177,0.275,13.500000000000002,,3.6000000000000005,1.25,0.0,1.0,-4.0,4.0,2.0,6.0,6.0,2.0,0.14705882352941177,0.275,13.500000000000002,,3.6000000000000005,1.25,90.0,58.0,0.0,1.0,0.0,0.810126582278481,0,,,,,,,,0,,,,,,,,-1.0,-1.0,-1.0,-8.0,-8.0,-8.0,-4.0,-4.0,-4.0,4.0,4.0,4.0,-0.12794117647058825,-0.12794117647058825,,,2.3500000000000005,2.3500000000000005,32.0,0.0,,,,,,,,0.0,away,19.0
