game_id,official_game_id,away_bat_ab,away_bat_h,away_bat_avg,home_bat_ab,home_bat_h,home_bat_avg,away_starter_name,away_starter_ip,away_starter_np,away_starter_er,away_starter_h,away_starter_hr,away_starter_bb,away_starter_so,away_bullpen_ip,away_bullpen_np,away_bullpen_er,away_bullpen_h,away_bullpen_hr,away_bullpen_bb,away_bullpen_so,home_starter_name,home_starter_ip,home_starter_np,home_starter_er,home_starter_h,home_starter_hr,home_starter_bb,home_starter_so,home_bullpen_ip,home_bullpen_np,home_bullpen_er,home_bullpen_h,home_bullpen_hr,home_bullpen_bb,home_bullpen_so
20240323-Doosan_Bears-NC_Dinos,20240323OBNC0,33.0,8.0,0.24242424242424243,34.0,7.0,0.20588235294117646,알칸타라,6.0,66.0,0.0,2.0,0.0,0.0,4.0,2.0,80.0,4.0,5.0,1.0,6.0,5.0,하트,7.0,91.0,2.0,5.0,0.0,0.0,5.0,1.0,36.0,1.0,3.0,0.0,0.0,1.0
20240323-Hanwha_Eagles-LG_Twins,20240323HHLG0,32.0,7.0,0.21875,35.0,11.0,0.3142857142857143,류현진,3.6666666666666665,86.0,2.0,6.0,0.0,3.0,0.0,2.6666666666666665,80.0,3.0,5.0,0.0,4.0,2.0,엔스,6.0,89.0,2.0,7.0,0.0,3.0,4.0,3.0,31.0,0.0,0.0,0.0,0.0,2.0
20240323-Kiwoom_Heroes-KIA_Tigers,20240323WOHT0,34.0,7.0,0.20588235294117646,37.0,13.0,0.35135135135135137,후라도,4.0,91.0,7.0,10.0,1.0,2.0,1.0,4.0,79.0,0.0,3.0,0.0,3.0,0.0,크로우,5.666666666666667,84.0,4.0,6.0,1.0,1.0,5.0,3.0,48.0,0.0,1.0,0.0,1.0,3.0
20240323-Lotte_Giants-SSG_Landers,20240323LTSK0,36.0,9.0,0.25,30.0,8.0,0.26666666666666666,윌커슨,5.0,85.0,4.0,6.0,2.0,2.0,8.0,2.333333333333333,49.0,1.0,2.0,0.0,2.0,0.0,김광현,5.0,96.0,3.0,6.0,1.0,2.0,6.0,3.333333333333333,80.0,0.0,3.0,0.0,4.0,6.0
20240323-Samsung_Lions-KT_Wiz,20240323SSKT0,40.0,11.0,0.275,34.0,5.0,0.14705882352941177,코너,6.0,87.0,1.0,4.0,1.0,1.0,8.0,4.0,58.0,0.0,1.0,0.0,4.0,3.0,쿠에바스,5.0,75.0,1.0,3.0,1.0,2.0,7.0,3.333333333333333,90.0,5.0,8.0,0.0,4.0,4.0
20240324-Doosan_Bears-NC_Dinos,20240324OBNC0,35.0,10.0,0.2857142857142857,34.0,7.0,0.20588235294117646,브랜든,5.0,72.0,0.0,2.0,0.0,2.0,4.0,3.0,66.0,2.0,5.0,0.0,2.0,4.0,신민혁,5.0,80.0,3.0,6.0,2.0,1.0,1.0,4.0,85.0,3.0,4.0,1.0,3.0,3.0
20240324-Hanwha_Eagles-LG_Twins,20240324HHLG0,34.0,11.0,0.3235294117647059,35.0,10.0,0.2857142857142857,페냐,6.666666666666667,95.0,2.0,6.0,0.0,1.0,4.0,2.0,55.0,2.0,4.0,0.0,1.0,2.0,임찬규,6.0,93.0,3.0,7.0,2.0,1.0,5.0,2.0,64.0,5.0,4.0,1.0,2.0,2.0
20240324-Lotte_Giants-SSG_Landers,20240324LTSK0,37.0,10.0,0.2702702702702703,33.0,10.0,0.30303030303030304,박세웅,5.0,97.0,2.0,5.0,0.0,2.0,4.0,2.0,82.0,5.0,5.0,2.0,6.0,3.0,엘리아스,6.0,79.0,0.0,4.0,0.0,1.0,5.0,2.0,99.0,2.0,6.0,1.0,4.0,3.0
20240324-Samsung_Lions-KT_Wiz,20240324SSKT0,39.0,18.0,0.46153846153846156,41.0,16.0,0.3902439024390244,레예스,6.0,84.0,1.0,6.0,0.0,1.0,2.0,2.0,66.0,7.0,10.0,0.0,0.0,0.0,엄상백,4.0,81.0,4.0,6.0,0.0,5.0,3.0,4.333333333333333,89.0,7.0,12.0,1.0,4.0,1.0
20240326-Doosan_Bears-KT_Wiz,20240326OBKT0,34.0,9.0,0.2647058823529412,38.0,11.0,0.2894736842105263,곽빈,5.0,91.0,3.0,6.0,0.0,2.0,9.0,3.0,79.0,1.0,5.0,0.0,1.0,5.0,벤자민,5.0,80.0,4.0,3.0,2.0,2.0,8.0,4.0,70.0,4.0,6.0,0.0,1.0,2.0
20240326-Hanwha_Eagles-SSG_Landers,20240326HHSK0,33.0,6.0,0.18181818181818182,30.0,3.0,0.1,김민우,5.0,91.0,0.0,2.0,0.0,3.0,6.0,4.0,59.0,0.0,1.0,0.0,2.0,2.0,더거,5.0,89.0,4.0,4.0,0.0,3.0,2.0,4.0,56.0,2.0,2.0,1.0,1.0,6.0
20240326-Kiwoom_Heroes-NC_Dinos,20240326WONC0,35.0,8.0,0.22857142857142856,35.0,11.0,0.3142857142857143,헤이수스,3.3333333333333335,86.0,4.0,6.0,1.0,5.0,6.0,4.0,105.0,5.0,5.0,1.0,6.0,5.0,카스타노,6.666666666666667,98.0,1.0,3.0,0.0,2.0,7.0,1.0,55.0,4.0,5.0,1.0,1.0,4.0
20240326-Lotte_Giants-KIA_Tigers,20240326LTHT0,33.0,6.0,0.18181818181818182,28.0,6.0,0.21428571428571427,반즈,6.0,91.0,1.0,4.0,1.0,3.0,6.0,1.0,24.0,1.0,2.0,0.0,0.0,1.0,양현종,5.333333333333333,90.0,1.0,5.0,0.0,4.0,4.0,3.0,58.0,0.0,1.0,0.0,1.0,4.0
20240326-Samsung_Lions-LG_Twins,20240326SSLG0,35.0,8.0,0.22857142857142856,27.0,8.0,0.2962962962962963,백정현,5.666666666666667,86.0,2.0,5.0,0.0,5.0,2.0,2.333333333333333,30.0,2.0,3.0,1.0,0.0,0.0,켈리,6.0,85.0,3.0,7.0,0.0,1.0,4.0,3.0,46.0,0.0,1.0,0.0,2.0,2.0
20240327-Doosan_Bears-KT_Wiz,20240327OBKT0,40.0,18.0,0.45,35.0,8.0,0.22857142857142856,최원준,5.0,94.0,5.0,5.0,3.0,5.0,3.0,3.0,92.0,2.0,3.0,1.0,6.0,6.0,고영표,4.0,86.0,9.0,13.0,0.0,1.0,2.0,5.0,75.0,2.0,5.0,0.0,1.0,4.0
20240327-Hanwha_Eagles-SSG_Landers,20240327HHSK0,26.0,2.0,0.07692307692307693,31.0,5.0,0.16129032258064516,산체스,5.666666666666667,90.0,1.0,3.0,0.0,2.0,8.0,3.0,55.0,0.0,2.0,0.0,1.0,3.0,박종훈,2.0,59.0,0.0,1.0,0.0,6.0,2.0,7.0,81.0,2.0,1.0,0.0,3.0,6.0
20240327-Kiwoom_Heroes-NC_Dinos,20240327WONC0,33.0,6.0,0.18181818181818182,30.0,8.0,0.26666666666666666,김선기,4.0,79.0,5.0,5.0,1.0,5.0,0.0,4.0,53.0,1.0,3.0,1.0,1.0,3.0,이재학,4.333333333333333,94.0,2.0,4.0,1.0,5.0,5.0,4.666666666666666,64.0,0.0,2.0,0.0,2.0,6.0
20240327-Lotte_Giants-KIA_Tigers,20240327LTHT0,32.0,6.0,0.1875,32.0,10.0,0.3125,나균안,5.0,93.0,3.0,7.0,1.0,4.0,3.0,2.6666666666666665,56.0,2.0,3.0,0.0,3.0,2.0,네일,6.0,85.0,1.0,5.0,1.0,1.0,9.0,3.0,49.0,0.0,1.0,0.0,2.0,5.0
20240327-Samsung_Lions-LG_Twins,20240327SSLG0,40.0,5.0,0.125,44.0,11.0,0.25,원태인,5.0,92.0,1.0,6.0,0.0,3.0,6.0,6.0,125.0,1.0,5.0,0.0,6.0,9.0,최원태,4.666666666666667,83.0,1.0,3.0,0.0,6.0,3.0,7.333333333333334,90.0,0.0,2.0,0.0,2.0,4.0
20240328-Doosan_Bears-KT_Wiz,20240328OBKT0,34.0,9.0,0.2647058823529412,44.0,18.0,0.4090909090909091,김동주,4.666666666666667,84.0,6.0,10.0,0.0,1.0,5.0,2.0,90.0,2.0,8.0,0.0,4.0,3.0,원상현,3.0,61.0,3.0,5.0,1.0,1.0,4.0,5.666666666666666,108.0,4.0,4.0,1.0,5.0,6.0
20240328-Hanwha_Eagles-SSG_Landers,20240328HHSK0,35.0,15.0,0.42857142857142855,39.0,13.0,0.3333333333333333,문동주,5.0,80.0,2.0,6.0,0.0,2.0,5.0,4.0,78.0,3.0,7.0,1.0,0.0,4.0,오원석,4.0,81.0,2.0,5.0,1.0,3.0,2.0,5.0,109.0,8.0,10.0,0.0,7.0,1.0
20240328-Samsung_Lions-LG_Twins,20240328SSLG0,32.0,5.0,0.15625,47.0,25.0,0.5319148936170213,이승민,4.0,97.0,6.0,8.0,1.0,1.0,2.0,4.0,100.0,12.0,17.0,1.0,3.0,3.0,손주영,6.0,83.0,0.0,3.0,0.0,3.0,3.0,3.0,59.0,0.0,2.0,0.0,1.0,3.0
20240329-KIA_Tigers-Doosan_Bears,20240329HTOB0,35.0,9.0,0.2571428571428571,31.0,3.0,0.0967741935483871,이의리,4.0,78.0,0.0,2.0,0.0,5.0,6.0,3.0,91.0,0.0,1.0,0.0,4.0,6.0,알칸타라,5.333333333333333,109.0,2.0,7.0,0.0,2.0,2.0,2.333333333333333,73.0,1.0,2.0,0.0,3.0,5.0
