game_id,game_date,season,away,home,away_score,home_score,status,stadium,note
20240323-Doosan_Bears-NC_Dinos,2024-03-23 14:00:00,2024,Doosan Bears,NC Dinos,3.0,4.0,Final,창원,-
20240323-Hanwha_Eagles-LG_Twins,2024-03-23 14:00:00,2024,Hanwha Eagles,LG Twins,2.0,8.0,Final,잠실,-
20240323-Kiwoom_Heroes-KIA_Tigers,2024-03-23 14:00:00,2024,Kiwoom Heroes,KIA Tigers,5.0,7.0,Final,광주,-
20240323-Lotte_Giants-SSG_Landers,2024-03-23 14:00:00,2024,Lotte Giants,SSG Landers,3.0,5.0,Final,문학,-
20240323-Samsung_Lions-KT_Wiz,2024-03-23 14:00:00,2024,Samsung Lions,KT Wiz,6.0,2.0,Final,수원,-
20240324-Doosan_Bears-NC_Dinos,2024-03-24 14:00:00,2024,Doosan Bears,NC Dinos,6.0,3.0,Final,창원,-
20240324-Hanwha_Eagles-LG_Twins,2024-03-24 14:00:00,2024,Hanwha Eagles,LG Twins,8.0,4.0,Final,잠실,-
20240324-Kiwoom_Heroes-KIA_Tigers,2024-03-24 14:00:00,2024,Kiwoom Heroes,KIA Tigers,,,Postponed,광주,우천취소
20240324-Lotte_Giants-SSG_Landers,2024-03-24 14:00:00,2024,Lotte Giants,SSG Landers,6.0,7.0,Final,문학,-
20240324-Samsung_Lions-KT_Wiz,2024-03-24 14:00:00,2024,Samsung Lions,KT Wiz,11.0,8.0,Final,수원,-
20240326-Doosan_Bears-KT_Wiz,2024-03-26 18:30:00,2024,Doosan Bears,KT Wiz,8.0,5.0,Final,수원,-
20240326-Hanwha_Eagles-SSG_Landers,2024-03-26 18:30:00,2024,Hanwha Eagles,SSG Landers,6.0,0.0,Final,문학,-
20240326-Kiwoom_Heroes-NC_Dinos,2024-03-26 18:30:00,2024,Kiwoom Heroes,NC Dinos,5.0,10.0,Final,창원,-
20240326-Lotte_Giants-KIA_Tigers,2024-03-26 18:30:00,2024,Lotte Giants,KIA Tigers,1.0,2.0,Final,광주,-
20240326-Samsung_Lions-LG_Twins,2024-03-26 18:30:00,2024,Samsung Lions,LG Twins,3.0,4.0,Final,잠실,-
