season,game_pk,game_date,official_date,game_type,status,abstract_state,home_team_id,home_team,away_team_id,away_team,home_score,away_score,home_win,home_probable_pitcher_id,home_probable_pitcher,away_probable_pitcher_id,away_probable_pitcher,venue_id,venue,home_bat_ab,home_bat_h,home_bat_2b,home_bat_3b,home_bat_hr,home_bat_bb,home_bat_hbp,home_bat_sf,home_bat_so,home_bat_runs,home_bat_tb,home_starter_id,home_starter_name_box,home_starter_ip,home_starter_er,home_starter_h,home_starter_bb,home_starter_k,home_starter_hr,home_starter_pitches,home_starter_batters,home_bullpen_ip,home_bullpen_er,home_bullpen_h,home_bullpen_bb,home_bullpen_k,home_bullpen_hr,home_bullpen_pitches,home_bullpen_batters,away_bat_ab,away_bat_h,away_bat_2b,away_bat_3b,away_bat_hr,away_bat_bb,away_bat_hbp,away_bat_sf,away_bat_so,away_bat_runs,away_bat_tb,away_starter_id,away_starter_name_box,away_starter_ip,away_starter_er,away_starter_h,away_starter_bb,away_starter_k,away_starter_hr,away_starter_pitches,away_starter_batters,away_bullpen_ip,away_bullpen_er,away_bullpen_h,away_bullpen_bb,away_bullpen_k,away_bullpen_hr,away_bullpen_pitches,away_bullpen_batters,home_starter_hand,away_starter_hand
2024,745444,2024-03-20 10:05:00+00:00,2024-03-20,R,Final,Final,135,San Diego Padres,119,Los Angeles Dodgers,2.0,5.0,0.0,506433.0,Yu Darvish,607192.0,Tyler Glasnow,5150,Gocheok Sky Dome,30.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,6.0,2.0,4.0,506433,Yu Darvish,3.6666666666666665,0.0,2.0,3.0,3.0,0.0,72.0,17.0,5.333333333333333,3.0,5.0,6.0,4.0,0.0,101.0,28.0,33.0,7.0,0.0,0.0,0.0,9.0,1.0,2.0,7.0,5.0,7.0,607192,Tyler Glasnow,5.0,2.0,2.0,4.0,3.0,0.0,77.0,20.0,4.0,0.0,2.0,0.0,3.0,0.0,50.0,14.0,R,R
2024,746175,2024-03-21 10:05:00+00:00,2024-03-21,R,Final,Final,119,Los Angeles Dodgers,135,San Diego Padres,11.0,15.0,0.0,808967.0,Yoshinobu Yamamoto,605397.0,Joe Musgrove,5150,Gocheok Sky Dome,42.0,16.0,3.0,0.0,1.0,6.0,1.0,1.0,9.0,11.0,22.0,808967,Yoshinobu Yamamoto,1.0,5.0,4.0,1.0,2.0,0.0,43.0,9.0,7.999999999999999,9.0,14.0,5.0,6.0,1.0,151.0,44.0,43.0,18.0,3.0,1.0,1.0,6.0,2.0,2.0,8.0,15.0,26.0,605397,Joe Musgrove,2.6666666666666665,5.0,7.0,2.0,2.0,0.0,60.0,17.0,6.333333333333334,6.0,9.0,4.0,7.0,1.0,131.0,33.0,R,R
2024,747060,2024-03-28 19:05:00+00:00,2024-03-28,R,Final,Final,110,Baltimore Orioles,108,Los Angeles Angels,11.0,3.0,1.0,669203.0,Corbin Burnes,663776.0,Patrick Sandoval,2,Oriole Park at Camden Yards,33.0,10.0,2.0,0.0,2.0,6.0,0.0,2.0,5.0,11.0,18.0,669203,Corbin Burnes,6.0,1.0,1.0,0.0,11.0,1.0,82.0,19.0,3.0,1.0,1.0,3.0,3.0,0.0,56.0,12.0,28.0,2.0,1.0,0.0,1.0,3.0,0.0,0.0,14.0,3.0,6.0,663776,Patrick Sandoval,1.6666666666666665,3.0,6.0,2.0,2.0,0.0,60.0,14.0,6.333333333333333,6.0,4.0,4.0,3.0,2.0,120.0,27.0,R,L
2024,746737,2024-03-28 20:10:00+00:00,2024-03-28,R,Final,Final,113,Cincinnati Reds,120,Washington Nationals,8.0,2.0,1.0,593423.0,Frankie Montas,680686.0,Josiah Gray,2602,Great American Ball Park,34.0,10.0,3.0,0.0,2.0,2.0,1.0,0.0,9.0,8.0,19.0,593423,Frankie Montas,6.0,0.0,4.0,0.0,4.0,0.0,81.0,21.0,3.0,2.0,2.0,0.0,5.0,1.0,55.0,11.0,32.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,9.0,2.0,9.0,680686,Josiah Gray,4.0,7.0,8.0,2.0,6.0,2.0,80.0,22.0,4.0,1.0,2.0,0.0,3.0,0.0,48.0,15.0,R,R
2024,745445,2024-03-28 20:10:00+00:00,2024-03-28,R,Final,Final,135,San Diego Padres,137,San Francisco Giants,6.0,4.0,1.0,506433.0,Yu Darvish,657277.0,Logan Webb,2680,Petco Park,32.0,9.0,1.0,0.0,0.0,3.0,0.0,0.0,7.0,6.0,10.0,506433,Yu Darvish,5.0,1.0,5.0,1.0,7.0,0.0,78.0,20.0,4.0,3.0,4.0,0.0,3.0,1.0,53.0,15.0,32.0,9.0,2.0,0.0,1.0,1.0,0.0,1.0,10.0,4.0,14.0,657277,Logan Webb,6.0,2.0,5.0,2.0,5.0,0.0,97.0,24.0,2.0,4.0,4.0,1.0,2.0,0.0,43.0,11.0,R,R
2024,746165,2024-03-28 20:10:00+00:00,2024-03-28,R,Final,Final,119,Los Angeles Dodgers,138,St. Louis Cardinals,7.0,1.0,1.0,607192.0,Tyler Glasnow,571945.0,Miles Mikolas,22,Dodger Stadium,31.0,10.0,2.0,0.0,2.0,4.0,0.0,1.0,10.0,7.0,18.0,607192,Tyler Glasnow,6.0,1.0,2.0,1.0,5.0,1.0,81.0,22.0,3.0,0.0,1.0,0.0,1.0,0.0,44.0,10.0,31.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,6.0,1.0,6.0,571945,Miles Mikolas,4.333333333333333,5.0,7.0,2.0,5.0,2.0,74.0,20.0,3.6666666666666665,2.0,3.0,2.0,5.0,0.0,60.0,16.0,R,R
2024,745116,2024-03-28 20:10:00+00:00,2024-03-28,R,Final,Final,139,Tampa Bay Rays,141,Toronto Blue Jays,2.0,8.0,0.0,621107.0,Zach Eflin,621244.0,José Berríos,12,Tropicana Field,33.0,8.0,3.0,0.0,1.0,2.0,0.0,0.0,11.0,2.0,14.0,621107,Zach Eflin,5.666666666666667,6.0,6.0,1.0,5.0,3.0,81.0,25.0,3.333333333333333,2.0,1.0,6.0,2.0,0.0,68.0,15.0,32.0,7.0,1.0,0.0,3.0,7.0,1.0,0.0,7.0,8.0,17.0,621244,José Berríos,6.0,2.0,6.0,1.0,6.0,1.0,91.0,23.0,3.0,0.0,2.0,1.0,5.0,0.0,51.0,12.0,R,R
2024,746335,2024-03-28 20:10:00+00:00,2024-03-28,R,Final,Final,118,Kansas City Royals,142,Minnesota Twins,1.0,4.0,0.0,666142.0,Cole Ragans,641154.0,Pablo López,7,Kauffman Stadium,31.0,5.0,2.0,0.0,1.0,1.0,0.0,0.0,8.0,1.0,10.0,666142,Cole Ragans,6.0,2.0,5.0,3.0,9.0,1.0,97.0,26.0,3.0,2.0,5.0,2.0,3.0,0.0,61.0,16.0,37.0,10.0,1.0,0.0,1.0,5.0,0.0,0.0,12.0,4.0,14.0,641154,Pablo López,7.0,1.0,4.0,0.0,7.0,1.0,84.0,24.0,2.0,0.0,1.0,1.0,1.0,0.0,35.0,8.0,L,R
2024,746821,2024-03-28 20:10:00+00:00,2024-03-28,R,Final,Final,145,Chicago White Sox,116,Detroit Tigers,0.0,1.0,0.0,676979.0,Garrett Crochet,669373.0,Tarik Skubal,4,Guaranteed Rate Field,30.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,3.0,676979,Garrett Crochet,6.0,1.0,5.0,0.0,8.0,0.0,87.0,23.0,3.0,0.0,1.0,1.0,3.0,0.0,46.0,12.0,32.0,6.0,0.0,0.0,0.0,1.0,1.0,1.0,11.0,1.0,6.0,669373,Tarik Skubal,6.0,0.0,3.0,0.0,6.0,0.0,83.0,21.0,2.9999999999999996,0.0,0.0,0.0,5.0,0.0,30.0,9.0,L,L
2024,746089,2024-03-28 20:10:00+00:00,2024-03-28,R,Final,Final,146,Miami Marlins,134,Pittsburgh Pirates,5.0,6.0,0.0,666200.0,Jesús Luzardo,656605.0,Mitch Keller,4169,loanDepot park,41.0,8.0,2.0,0.0,0.0,4.0,2.0,1.0,7.0,5.0,10.0,666200,Jesús Luzardo,5.0,2.0,2.0,2.0,8.0,1.0,85.0,19.0,7.0,3.0,7.0,6.0,9.0,2.0,128.0,33.0,44.0,9.0,2.0,0.0,3.0,8.0,0.0,0.0,17.0,6.0,20.0,656605,Mitch Keller,5.666666666666667,4.0,7.0,2.0,3.0,0.0,85.0,27.0,6.333333333333333,0.0,1.0,2.0,4.0,0.0,53.0,21.0,L,R
