game_id,game_date,season,away,home,away_score,home_score,status,stadium,home_history_games,away_history_games,elo_home_prob,home_win_r20,away_win_r20,home_run_diff_r20,away_run_diff_r20,home_runs_for_r20,away_runs_for_r20,home_runs_against_r20,away_runs_against_r20,home_days_rest,away_days_rest,diff_win_r20,diff_run_diff_r20,diff_runs_for_r20,diff_runs_against_r20,diff_days_rest,result,total_runs
20240329-Chunichi_Dragons-Tokyo_Yakult_Swallows,2024-03-29 18:00:00,2024,Chunichi Dragons,Tokyo Yakult Swallows,4.0,7.0,Final,神 宮,0,0,0.5287505638922686,,,,,,,,,,,,,,,,home,11.0
20240329-Fukuoka_SoftBank_Hawks-Orix_Buffaloes,2024-03-29 18:00:00,2024,Fukuoka SoftBank Hawks,Orix Buffaloes,3.0,1.0,Final,京セラD大阪,0,0,0.5287505638922686,,,,,,,,,,,,,,,,away,4.0
20240329-Saitama_Seibu_Lions-Tohoku_Rakuten_Golden_Eagles,2024-03-29 18:00:00,2024,Saitama Seibu Lions,Tohoku Rakuten Golden Eagles,1.0,0.0,Final,楽天モバイル,0,0,0.5287505638922686,,,,,,,,,,,,,,,,away,1.0
20240329-Hanshin_Tigers-Yomiuri_Giants,2024-03-29 18:15:00,2024,Hanshin Tigers,Yomiuri Giants,0.0,4.0,Final,東京ドーム,0,0,0.5287505638922686,,,,,,,,,,,,,,,,home,4.0
20240329-Hiroshima_Toyo_Carp-Yokohama_DeNA_BayStars,2024-03-29 18:30:00,2024,Hiroshima Toyo Carp,Yokohama DeNA BayStars,3.0,4.0,Final,横 浜,0,0,0.5287505638922686,,,,,,,,,,,,,,,,home,7.0
20240329-Hokkaido_Nippon-Ham_Fighters-Chiba_Lotte_Marines,2024-03-29 18:30:00,2024,Hokkaido Nippon-Ham Fighters,Chiba Lotte Marines,4.0,1.0,Final,ZOZOマリン,0,0,0.5287505638922686,,,,,,,,,,,,,,,,away,5.0
20240330-Fukuoka_SoftBank_Hawks-Orix_Buffaloes,2024-03-30 13:00:00,2024,Fukuoka SoftBank Hawks,Orix Buffaloes,0.0,2.0,Final,京セラD大阪,1,1,0.4934753822195311,0.0,1.0,-2.0,2.0,1.0,3.0,3.0,1.0,1.0,1.0,-1.0,-4.0,-2.0,2.0,0.0,home,2.0
20240330-Chunichi_Dragons-Tokyo_Yakult_Swallows,2024-03-30 14:00:00,2024,Chunichi Dragons,Tokyo Yakult Swallows,1.0,1.0,Final,神 宮,1,1,0.5620978972816505,1.0,0.0,3.0,-3.0,7.0,4.0,4.0,7.0,1.0,1.0,1.0,6.0,3.0,-3.0,0.0,draw,2.0
20240330-Hanshin_Tigers-Yomiuri_Giants,2024-03-30 14:00:00,2024,Hanshin Tigers,Yomiuri Giants,0.0,5.0,Final,東京ドーム,1,1,0.5642334423396481,1.0,0.0,4.0,-4.0,4.0,0.0,0.0,4.0,1.0,1.0,1.0,8.0,4.0,-4.0,0.0,home,5.0
20240330-Hiroshima_Toyo_Carp-Yokohama_DeNA_BayStars,2024-03-30 14:00:00,2024,Hiroshima Toyo Carp,Yokohama DeNA BayStars,1.0,6.0,Final,横 浜,1,1,0.5578199733686113,1.0,0.0,1.0,-1.0,4.0,3.0,3.0,4.0,1.0,1.0,1.0,2.0,1.0,-1.0,0.0,home,7.0
