game_id,game_date,season,away,home,away_score,home_score,status,stadium,source
20220325-Chiba_Lotte_Marines-Tohoku_Rakuten_Golden_Eagles,2022-03-25 16:00:00,2022,Chiba Lotte Marines,Tohoku Rakuten Golden Eagles,4.0,0.0,Final,楽天生命パーク,https://npb.jp/games/2022/schedule_03_detail.html
20220325-Orix_Buffaloes-Saitama_Seibu_Lions,2022-03-25 18:00:00,2022,Orix Buffaloes,Saitama Seibu Lions,6.0,0.0,Final,ベルーナドーム,https://npb.jp/games/2022/schedule_03_detail.html
20220325-Tokyo_Yakult_Swallows-Hanshin_Tigers,2022-03-25 18:00:00,2022,Tokyo Yakult Swallows,Hanshin Tigers,10.0,8.0,Final,京セラD大阪,https://npb.jp/games/2022/schedule_03_detail.html
20220325-Chunichi_Dragons-Yomiuri_Giants,2022-03-25 18:15:00,2022,Chunichi Dragons,Yomiuri Giants,2.0,4.0,Final,東京ドーム,https://npb.jp/games/2022/schedule_03_detail.html
20220325-Hiroshima_Toyo_Carp-Yokohama_DeNA_BayStars,2022-03-25 18:30:00,2022,Hiroshima Toyo Carp,Yokohama DeNA BayStars,11.0,3.0,Final,横 浜,https://npb.jp/games/2022/schedule_03_detail.html
20220325-Hokkaido_Nippon-Ham_Fighters-Fukuoka_SoftBank_Hawks,2022-03-25 18:30:00,2022,Hokkaido Nippon-Ham Fighters,Fukuoka SoftBank Hawks,1.0,4.0,Final,PayPayドーム,https://npb.jp/games/2022/schedule_03_detail.html
20220326-Chiba_Lotte_Marines-Tohoku_Rakuten_Golden_Eagles,2022-03-26 14:00:00,2022,Chiba Lotte Marines,Tohoku Rakuten Golden Eagles,,,Postponed,楽天生命パーク,https://npb.jp/games/2022/schedule_03_detail.html
20220326-Chunichi_Dragons-Yomiuri_Giants,2022-03-26 14:00:00,2022,Chunichi Dragons,Yomiuri Giants,5.0,7.0,Final,東京ドーム,https://npb.jp/games/2022/schedule_03_detail.html
20220326-Hiroshima_Toyo_Carp-Yokohama_DeNA_BayStars,2022-03-26 14:00:00,2022,Hiroshima Toyo Carp,Yokohama DeNA BayStars,10.0,5.0,Final,横 浜,https://npb.jp/games/2022/schedule_03_detail.html
20220326-Hokkaido_Nippon-Ham_Fighters-Fukuoka_SoftBank_Hawks,2022-03-26 14:00:00,2022,Hokkaido Nippon-Ham Fighters,Fukuoka SoftBank Hawks,3.0,6.0,Final,PayPayドーム,https://npb.jp/games/2022/schedule_03_detail.html
20220326-Orix_Buffaloes-Saitama_Seibu_Lions,2022-03-26 14:00:00,2022,Orix Buffaloes,Saitama Seibu Lions,0.0,5.0,Final,ベルーナドーム,https://npb.jp/games/2022/schedule_03_detail.html
20220326-Tokyo_Yakult_Swallows-Hanshin_Tigers,2022-03-26 14:00:00,2022,Tokyo Yakult Swallows,Hanshin Tigers,6.0,0.0,Final,京セラD大阪,https://npb.jp/games/2022/schedule_03_detail.html
20220327-Chiba_Lotte_Marines-Tohoku_Rakuten_Golden_Eagles,2022-03-27 13:00:00,2022,Chiba Lotte Marines,Tohoku Rakuten Golden Eagles,5.0,6.0,Final,楽天生命パーク,https://npb.jp/games/2022/schedule_03_detail.html
20220327-Hokkaido_Nippon-Ham_Fighters-Fukuoka_SoftBank_Hawks,2022-03-27 13:00:00,2022,Hokkaido Nippon-Ham Fighters,Fukuoka SoftBank Hawks,4.0,6.0,Final,PayPayドーム,https://npb.jp/games/2022/schedule_03_detail.html
20220327-Chunichi_Dragons-Yomiuri_Giants,2022-03-27 14:00:00,2022,Chunichi Dragons,Yomiuri Giants,7.0,5.0,Final,東京ドーム,https://npb.jp/games/2022/schedule_03_detail.html
20220327-Hiroshima_Toyo_Carp-Yokohama_DeNA_BayStars,2022-03-27 14:00:00,2022,Hiroshima Toyo Carp,Yokohama DeNA BayStars,7.0,6.0,Final,横 浜,https://npb.jp/games/2022/schedule_03_detail.html
20220327-Orix_Buffaloes-Saitama_Seibu_Lions,2022-03-27 14:00:00,2022,Orix Buffaloes,Saitama Seibu Lions,6.0,7.0,Final,ベルーナドーム,https://npb.jp/games/2022/schedule_03_detail.html
20220327-Tokyo_Yakult_Swallows-Hanshin_Tigers,2022-03-27 14:00:00,2022,Tokyo Yakult Swallows,Hanshin Tigers,4.0,0.0,Final,京セラD大阪,https://npb.jp/games/2022/schedule_03_detail.html
20220329-Hanshin_Tigers-Hiroshima_Toyo_Carp,2022-03-29 18:00:00,2022,Hanshin Tigers,Hiroshima Toyo Carp,2.0,3.0,Final,マツダスタジアム,https://npb.jp/games/2022/schedule_03_detail.html
20220329-Tohoku_Rakuten_Golden_Eagles-Orix_Buffaloes,2022-03-29 18:00:00,2022,Tohoku Rakuten Golden Eagles,Orix Buffaloes,2.0,1.0,Final,京セラD大阪,https://npb.jp/games/2022/schedule_03_detail.html
20220329-Yomiuri_Giants-Tokyo_Yakult_Swallows,2022-03-29 18:00:00,2022,Yomiuri Giants,Tokyo Yakult Swallows,5.0,3.0,Final,神 宮,https://npb.jp/games/2022/schedule_03_detail.html
20220329-Yokohama_DeNA_BayStars-Chunichi_Dragons,2022-03-29 18:15:00,2022,Yokohama DeNA BayStars,Chunichi Dragons,4.0,0.0,Final,バンテリンドーム,https://npb.jp/games/2022/schedule_03_detail.html
20220329-Fukuoka_SoftBank_Hawks-Chiba_Lotte_Marines,2022-03-29 18:30:00,2022,Fukuoka SoftBank Hawks,Chiba Lotte Marines,2.0,1.0,Final,ZOZOマリン,https://npb.jp/games/2022/schedule_03_detail.html
