game_id,game_date,season,away,home,away_score,home_score,status,stadium
20240329-Chunichi_Dragons-Tokyo_Yakult_Swallows,2024-03-29 18:00:00,2024,Chunichi Dragons,Tokyo Yakult Swallows,4,7,Final,神 宮
20240329-Fukuoka_SoftBank_Hawks-Orix_Buffaloes,2024-03-29 18:00:00,2024,Fukuoka SoftBank Hawks,Orix Buffaloes,3,1,Final,京セラD大阪
20240329-Saitama_Seibu_Lions-Tohoku_Rakuten_Golden_Eagles,2024-03-29 18:00:00,2024,Saitama Seibu Lions,Tohoku Rakuten Golden Eagles,1,0,Final,楽天モバイル
20240329-Hanshin_Tigers-Yomiuri_Giants,2024-03-29 18:15:00,2024,Hanshin Tigers,Yomiuri Giants,0,4,Final,東京ドーム
20240329-Hiroshima_Toyo_Carp-Yokohama_DeNA_BayStars,2024-03-29 18:30:00,2024,Hiroshima Toyo Carp,Yokohama DeNA BayStars,3,4,Final,横 浜
20240329-Hokkaido_Nippon-Ham_Fighters-Chiba_Lotte_Marines,2024-03-29 18:30:00,2024,Hokkaido Nippon-Ham Fighters,Chiba Lotte Marines,4,1,Final,ZOZOマリン
20240330-Fukuoka_SoftBank_Hawks-Orix_Buffaloes,2024-03-30 13:00:00,2024,Fukuoka SoftBank Hawks,Orix Buffaloes,0,2,Final,京セラD大阪
20240330-Chunichi_Dragons-Tokyo_Yakult_Swallows,2024-03-30 14:00:00,2024,Chunichi Dragons,Tokyo Yakult Swallows,1,1,Final,神 宮
20240330-Hanshin_Tigers-Yomiuri_Giants,2024-03-30 14:00:00,2024,Hanshin Tigers,Yomiuri Giants,0,5,Final,東京ドーム
20240330-Hiroshima_Toyo_Carp-Yokohama_DeNA_BayStars,2024-03-30 14:00:00,2024,Hiroshima Toyo Carp,Yokohama DeNA BayStars,1,6,Final,横 浜
20240330-Hokkaido_Nippon-Ham_Fighters-Chiba_Lotte_Marines,2024-03-30 14:00:00,2024,Hokkaido Nippon-Ham Fighters,Chiba Lotte Marines,0,3,Final,ZOZOマリン
20240330-Saitama_Seibu_Lions-Tohoku_Rakuten_Golden_Eagles,2024-03-30 14:00:00,2024,Saitama Seibu Lions,Tohoku Rakuten Golden Eagles,8,2,Final,楽天モバイル
20240331-Fukuoka_SoftBank_Hawks-Orix_Buffaloes,2024-03-31 13:00:00,2024,Fukuoka SoftBank Hawks,Orix Buffaloes,5,2,Final,京セラD大阪
20240331-Saitama_Seibu_Lions-Tohoku_Rakuten_Golden_Eagles,2024-03-31 13:00:00,2024,Saitama Seibu Lions,Tohoku Rakuten Golden Eagles,3,4,Final,楽天モバイル
20240331-Chunichi_Dragons-Tokyo_Yakult_Swallows,2024-03-31 13:30:00,2024,Chunichi Dragons,Tokyo Yakult Swallows,2,5,Final,神 宮
20240331-Hanshin_Tigers-Yomiuri_Giants,2024-03-31 14:00:00,2024,Hanshin Tigers,Yomiuri Giants,5,0,Final,東京ドーム
20240331-Hiroshima_Toyo_Carp-Yokohama_DeNA_BayStars,2024-03-31 14:00:00,2024,Hiroshima Toyo Carp,Yokohama DeNA BayStars,5,1,Final,横 浜
20240331-Hokkaido_Nippon-Ham_Fighters-Chiba_Lotte_Marines,2024-03-31 14:00:00,2024,Hokkaido Nippon-Ham Fighters,Chiba Lotte Marines,3,2,Final,ZOZOマリン
20240402-Orix_Buffaloes-Saitama_Seibu_Lions,2024-04-02 18:00:00,2024,Orix Buffaloes,Saitama Seibu Lions,1.0,2.0,Final,ベルーナドーム
20240402-Tokyo_Yakult_Swallows-Hiroshima_Toyo_Carp,2024-04-02 18:00:00,2024,Tokyo Yakult Swallows,Hiroshima Toyo Carp,1.0,2.0,Final,マツダスタジアム
