candidate,C,dev_log_loss,dev_total_mae
core,0.01,0.7876044753152855,3.1517162367960068
core,0.03,0.7959600551000419,3.1517162367960068
core,0.1,0.8063486913313771,3.1517162367960068
core,0.3,0.8116614225861514,3.1517162367960068
form,0.01,0.7897902147407679,3.1928703752482357
form,0.03,0.7995262010971509,3.1928703752482357
form,0.1,0.8120309413933756,3.1928703752482357
form,0.3,0.8193146406104707,3.1928703752482357
batting_bullpen,0.01,0.8003745012684891,3.187232293601773
batting_bullpen,0.03,0.8144363040396728,3.187232293601773
batting_bullpen,0.1,0.8331026522009538,3.187232293601773
batting_bullpen,0.3,0.8490728160558427,3.187232293601773
starter,0.01,0.8106413009829048,3.1321672524126742
starter,0.03,0.8344856970545018,3.1321672524126742
starter,0.1,0.861210101813431,3.1321672524126742
starter,0.3,0.8762820384870854,3.1321672524126742
context,0.01,0.7876998135227867,3.1375412315340183
context,0.03,0.7967169317598343,3.1375412315340183
context,0.1,0.8095006590634882,3.1375412315340183
context,0.3,0.8183885060854389,3.1375412315340183
form_starter,0.01,0.8128297539118671,3.16796255955156
form_starter,0.03,0.8377451245761763,3.16796255955156
form_starter,0.1,0.8661659577400973,3.16796255955156
form_starter,0.3,0.8842148282210204,3.16796255955156
form_batting_bullpen,0.01,0.8004021654509411,3.165567215581788
form_batting_bullpen,0.03,0.814350869816152,3.165567215581788
form_batting_bullpen,0.1,0.8340136945087518,3.165567215581788
form_batting_bullpen,0.3,0.8515207566864615,3.165567215581788
all,0.01,0.8245723719314293,3.14511797982436
all,0.03,0.8607476000984616,3.14511797982436
all,0.1,0.910249928703634,3.14511797982436
all,0.3,0.9598535379304126,3.14511797982436
