candidate,C,fold,train_end,valid_start,valid_end,train_games,valid_games,log_loss
core,0.01,0,2024-06-30 18:00:00,2024-07-02 18:00:00,2024-10-31 18:00:00,308,446,0.7807759826432681
core,0.01,1,2024-10-31 18:00:00,2025-03-28 18:00:00,2025-06-29 17:00:00,754,426,0.8011827785060442
core,0.01,2,2025-06-29 17:00:00,2025-07-01 18:00:00,2025-10-30 18:00:00,1180,450,0.7815181432540779
core,0.03,0,2024-06-30 18:00:00,2024-07-02 18:00:00,2024-10-31 18:00:00,308,446,0.789873269093366
core,0.03,1,2024-10-31 18:00:00,2025-03-28 18:00:00,2025-06-29 17:00:00,754,426,0.8185402341095707
core,0.03,2,2025-06-29 17:00:00,2025-07-01 18:00:00,2025-10-30 18:00:00,1180,450,0.7806168335465264
core,0.1,0,2024-06-30 18:00:00,2024-07-02 18:00:00,2024-10-31 18:00:00,308,446,0.8037093215029063
core,0.1,1,2024-10-31 18:00:00,2025-03-28 18:00:00,2025-06-29 17:00:00,754,426,0.836544949606472
core,0.1,2,2025-06-29 17:00:00,2025-07-01 18:00:00,2025-10-30 18:00:00,1180,450,0.7803788089276159
core,0.3,0,2024-06-30 18:00:00,2024-07-02 18:00:00,2024-10-31 18:00:00,308,446,0.8121009703957188
core,0.3,1,2024-10-31 18:00:00,2025-03-28 18:00:00,2025-06-29 17:00:00,754,426,0.8440876308804203
core,0.3,2,2025-06-29 17:00:00,2025-07-01 18:00:00,2025-10-30 18:00:00,1180,450,0.78052897134965
form,0.01,0,2024-06-30 18:00:00,2024-07-02 18:00:00,2024-10-31 18:00:00,308,446,0.7845133162177622
form,0.01,1,2024-10-31 18:00:00,2025-03-28 18:00:00,2025-06-29 17:00:00,754,426,0.8032195497106437
form,0.01,2,2025-06-29 17:00:00,2025-07-01 18:00:00,2025-10-30 18:00:00,1180,450,0.7823071037276423
form,0.03,0,2024-06-30 18:00:00,2024-07-02 18:00:00,2024-10-31 18:00:00,308,446,0.7979608880127773
form,0.03,1,2024-10-31 18:00:00,2025-03-28 18:00:00,2025-06-29 17:00:00,754,426,0.8204529840768018
form,0.03,2,2025-06-29 17:00:00,2025-07-01 18:00:00,2025-10-30 18:00:00,1180,450,0.7812669124000386
form,0.1,0,2024-06-30 18:00:00,2024-07-02 18:00:00,2024-10-31 18:00:00,308,446,0.8167524756135917
form,0.1,1,2024-10-31 18:00:00,2025-03-28 18:00:00,2025-06-29 17:00:00,754,426,0.8397848463863733
form,0.1,2,2025-06-29 17:00:00,2025-07-01 18:00:00,2025-10-30 18:00:00,1180,450,0.7810776796395239
form,0.3,0,2024-06-30 18:00:00,2024-07-02 18:00:00,2024-10-31 18:00:00,308,446,0.8290446951503959
form,0.3,1,2024-10-31 18:00:00,2025-03-28 18:00:00,2025-06-29 17:00:00,754,426,0.8488666202004401
form,0.3,2,2025-06-29 17:00:00,2025-07-01 18:00:00,2025-10-30 18:00:00,1180,450,0.7816952014323955
batting_bullpen,0.01,0,2024-06-30 18:00:00,2024-07-02 18:00:00,2024-10-31 18:00:00,308,446,0.7884258530944831
batting_bullpen,0.01,1,2024-10-31 18:00:00,2025-03-28 18:00:00,2025-06-29 17:00:00,754,426,0.8184353262689968
batting_bullpen,0.01,2,2025-06-29 17:00:00,2025-07-01 18:00:00,2025-10-30 18:00:00,1180,450,0.7951193582360234
batting_bullpen,0.03,0,2024-06-30 18:00:00,2024-07-02 18:00:00,2024-10-31 18:00:00,308,446,0.8102508058526309
batting_bullpen,0.03,1,2024-10-31 18:00:00,2025-03-28 18:00:00,2025-06-29 17:00:00,754,426,0.8336619621325133
batting_bullpen,0.03,2,2025-06-29 17:00:00,2025-07-01 18:00:00,2025-10-30 18:00:00,1180,450,0.8003843081371628
batting_bullpen,0.1,0,2024-06-30 18:00:00,2024-07-02 18:00:00,2024-10-31 18:00:00,308,446,0.8426107265995372
batting_bullpen,0.1,1,2024-10-31 18:00:00,2025-03-28 18:00:00,2025-06-29 17:00:00,754,426,0.8505694159121552
batting_bullpen,0.1,2,2025-06-29 17:00:00,2025-07-01 18:00:00,2025-10-30 18:00:00,1180,450,0.8071438910393093
batting_bullpen,0.3,0,2024-06-30 18:00:00,2024-07-02 18:00:00,2024-10-31 18:00:00,308,446,0.8681710952369007
batting_bullpen,0.3,1,2024-10-31 18:00:00,2025-03-28 18:00:00,2025-06-29 17:00:00,754,426,0.866158522637827
batting_bullpen,0.3,2,2025-06-29 17:00:00,2025-07-01 18:00:00,2025-10-30 18:00:00,1180,450,0.8139698304587824
starter,0.01,0,2024-06-30 18:00:00,2024-07-02 18:00:00,2024-10-31 18:00:00,308,446,0.806772628151024
starter,0.01,1,2024-10-31 18:00:00,2025-03-28 18:00:00,2025-06-29 17:00:00,754,426,0.8433838838082811
starter,0.01,2,2025-06-29 17:00:00,2025-07-01 18:00:00,2025-10-30 18:00:00,1180,450,0.7834792738704792
starter,0.03,0,2024-06-30 18:00:00,2024-07-02 18:00:00,2024-10-31 18:00:00,308,446,0.8492075937981994
starter,0.03,1,2024-10-31 18:00:00,2025-03-28 18:00:00,2025-06-29 17:00:00,754,426,0.8724195702648274
starter,0.03,2,2025-06-29 17:00:00,2025-07-01 18:00:00,2025-10-30 18:00:00,1180,450,0.7839839283094178
starter,0.1,0,2024-06-30 18:00:00,2024-07-02 18:00:00,2024-10-31 18:00:00,308,446,0.9031379859114541
starter,0.1,1,2024-10-31 18:00:00,2025-03-28 18:00:00,2025-06-29 17:00:00,754,426,0.8980163304770008
starter,0.1,2,2025-06-29 17:00:00,2025-07-01 18:00:00,2025-10-30 18:00:00,1180,450,0.7848116802169883
starter,0.3,0,2024-06-30 18:00:00,2024-07-02 18:00:00,2024-10-31 18:00:00,308,446,0.9331546747949072
starter,0.3,1,2024-10-31 18:00:00,2025-03-28 18:00:00,2025-06-29 17:00:00,754,426,0.9126483510867077
starter,0.3,2,2025-06-29 17:00:00,2025-07-01 18:00:00,2025-10-30 18:00:00,1180,450,0.7854881607965796
context,0.01,0,2024-06-30 18:00:00,2024-07-02 18:00:00,2024-10-31 18:00:00,308,446,0.7771575199581551
context,0.01,1,2024-10-31 18:00:00,2025-03-28 18:00:00,2025-06-29 17:00:00,754,426,0.7930796859823237
context,0.01,2,2025-06-29 17:00:00,2025-07-01 18:00:00,2025-10-30 18:00:00,1180,450,0.7930554518829264
context,0.03,0,2024-06-30 18:00:00,2024-07-02 18:00:00,2024-10-31 18:00:00,308,446,0.7853731117417497
context,0.03,1,2024-10-31 18:00:00,2025-03-28 18:00:00,2025-06-29 17:00:00,754,426,0.810598818549935
context,0.03,2,2025-06-29 17:00:00,2025-07-01 18:00:00,2025-10-30 18:00:00,1180,450,0.7948183983275741
context,0.1,0,2024-06-30 18:00:00,2024-07-02 18:00:00,2024-10-31 18:00:00,308,446,0.8022507403653366
context,0.1,1,2024-10-31 18:00:00,2025-03-28 18:00:00,2025-06-29 17:00:00,754,426,0.8312739115007766
context,0.1,2,2025-06-29 17:00:00,2025-07-01 18:00:00,2025-10-30 18:00:00,1180,450,0.7960741217325787
context,0.3,0,2024-06-30 18:00:00,2024-07-02 18:00:00,2024-10-31 18:00:00,308,446,0.8175427023149089
context,0.3,1,2024-10-31 18:00:00,2025-03-28 18:00:00,2025-06-29 17:00:00,754,426,0.8419797866614744
context,0.3,2,2025-06-29 17:00:00,2025-07-01 18:00:00,2025-10-30 18:00:00,1180,450,0.7968937126549169
form_starter,0.01,0,2024-06-30 18:00:00,2024-07-02 18:00:00,2024-10-31 18:00:00,308,446,0.8086938690392957
form_starter,0.01,1,2024-10-31 18:00:00,2025-03-28 18:00:00,2025-06-29 17:00:00,754,426,0.8470433914017814
form_starter,0.01,2,2025-06-29 17:00:00,2025-07-01 18:00:00,2025-10-30 18:00:00,1180,450,0.7845399652062303
form_starter,0.03,0,2024-06-30 18:00:00,2024-07-02 18:00:00,2024-10-31 18:00:00,308,446,0.85321289247098
form_starter,0.03,1,2024-10-31 18:00:00,2025-03-28 18:00:00,2025-06-29 17:00:00,754,426,0.8772759475339774
form_starter,0.03,2,2025-06-29 17:00:00,2025-07-01 18:00:00,2025-10-30 18:00:00,1180,450,0.7849923355514975
form_starter,0.1,0,2024-06-30 18:00:00,2024-07-02 18:00:00,2024-10-31 18:00:00,308,446,0.9101017451549879
form_starter,0.1,1,2024-10-31 18:00:00,2025-03-28 18:00:00,2025-06-29 17:00:00,754,426,0.9049491330227214
form_starter,0.1,2,2025-06-29 17:00:00,2025-07-01 18:00:00,2025-10-30 18:00:00,1180,450,0.7859059713902328
form_starter,0.3,0,2024-06-30 18:00:00,2024-07-02 18:00:00,2024-10-31 18:00:00,308,446,0.9466194855554703
form_starter,0.3,1,2024-10-31 18:00:00,2025-03-28 18:00:00,2025-06-29 17:00:00,754,426,0.9216822592411544
form_starter,0.3,2,2025-06-29 17:00:00,2025-07-01 18:00:00,2025-10-30 18:00:00,1180,450,0.7868957109193719
form_batting_bullpen,0.01,0,2024-06-30 18:00:00,2024-07-02 18:00:00,2024-10-31 18:00:00,308,446,0.7894832649304078
form_batting_bullpen,0.01,1,2024-10-31 18:00:00,2025-03-28 18:00:00,2025-06-29 17:00:00,754,426,0.8194312035610772
form_batting_bullpen,0.01,2,2025-06-29 17:00:00,2025-07-01 18:00:00,2025-10-30 18:00:00,1180,450,0.7932098530003635
form_batting_bullpen,0.03,0,2024-06-30 18:00:00,2024-07-02 18:00:00,2024-10-31 18:00:00,308,446,0.811199745773049
form_batting_bullpen,0.03,1,2024-10-31 18:00:00,2025-03-28 18:00:00,2025-06-29 17:00:00,754,426,0.8352395525087873
form_batting_bullpen,0.03,2,2025-06-29 17:00:00,2025-07-01 18:00:00,2025-10-30 18:00:00,1180,450,0.7976993642520658
form_batting_bullpen,0.1,0,2024-06-30 18:00:00,2024-07-02 18:00:00,2024-10-31 18:00:00,308,446,0.8436779525398524
form_batting_bullpen,0.1,1,2024-10-31 18:00:00,2025-03-28 18:00:00,2025-06-29 17:00:00,754,426,0.8551344157571357
form_batting_bullpen,0.1,2,2025-06-29 17:00:00,2025-07-01 18:00:00,2025-10-30 18:00:00,1180,450,0.80444105821168
form_batting_bullpen,0.3,0,2024-06-30 18:00:00,2024-07-02 18:00:00,2024-10-31 18:00:00,308,446,0.870445801228896
form_batting_bullpen,0.3,1,2024-10-31 18:00:00,2025-03-28 18:00:00,2025-06-29 17:00:00,754,426,0.873471789223048
form_batting_bullpen,0.3,2,2025-06-29 17:00:00,2025-07-01 18:00:00,2025-10-30 18:00:00,1180,450,0.8119836239608801
all,0.01,0,2024-06-30 18:00:00,2024-07-02 18:00:00,2024-10-31 18:00:00,308,446,0.8173806177571158
all,0.01,1,2024-10-31 18:00:00,2025-03-28 18:00:00,2025-06-29 17:00:00,754,426,0.8522607680449354
