id,family,group,c,shrink,games,accuracy,log_loss,brier,conf_55_games,conf_55_accuracy,conf_60_games,conf_60_accuracy,blend
0,linear,core,0.003,False,872,0.5149082568807339,0.7863191622617752,0.5187691447319053,99,0.5555555555555556,10,0.4,
1,linear,core,0.01,False,872,0.518348623853211,0.7907453576863216,0.5215957328707274,183,0.5792349726775956,26,0.46153846153846156,
2,linear,core,0.03,False,872,0.5206422018348624,0.8038780020026586,0.5256439432454442,237,0.5611814345991561,55,0.5272727272727272,
3,linear,core,0.1,False,872,0.5286697247706422,0.8197505801865288,0.5286141709909736,285,0.5719298245614035,73,0.5068493150684932,
4,hierarchical,core,0.01,False,872,0.5217889908256881,0.7881987084281722,0.5201488299564029,125,0.512,16,0.4375,
5,hierarchical,core,0.03,False,872,0.5103211009174312,0.7923168396994331,0.5223691526935786,197,0.5736040609137056,33,0.45454545454545453,
6,tree,core,,False,872,0.5091743119266054,0.7870421737117759,0.5186332047484349,217,0.5806451612903226,32,0.625,0.75
7,linear,matchup,0.003,True,872,0.5424311926605505,0.7853034391514605,0.5178480353926521,177,0.5649717514124294,25,0.56,
8,linear,matchup,0.01,True,872,0.5355504587155964,0.7929391094887722,0.5235376358013647,324,0.5370370370370371,99,0.5353535353535354,
9,linear,matchup,0.03,True,872,0.5240825688073395,0.8126859764846692,0.5324496963225369,414,0.5362318840579711,179,0.5307262569832403,
10,linear,matchup,0.1,True,872,0.5194954128440367,0.839272526451453,0.5406722212977388,457,0.5207877461706784,248,0.5282258064516129,
11,hierarchical,matchup,0.01,True,872,0.5344036697247706,0.7877868151351293,0.5196893524354594,257,0.556420233463035,52,0.5769230769230769,
12,hierarchical,matchup,0.03,True,872,0.5309633027522935,0.7958682926365727,0.525092779025403,359,0.5236768802228412,128,0.5625,
13,tree,matchup,,True,872,0.5298165137614679,0.7856313095347522,0.5181381006423676,214,0.5841121495327103,46,0.6521739130434783,0.75
14,linear,form_matchup,0.003,True,872,0.5355504587155964,0.7860156905008115,0.5183727692127744,194,0.5515463917525774,29,0.5517241379310345,
15,linear,form_matchup,0.01,True,872,0.536697247706422,0.7942732471340219,0.5243679635169641,323,0.5294117647058824,104,0.5384615384615384,
16,linear,form_matchup,0.03,True,872,0.5252293577981652,0.8149097871478426,0.5339562424642749,418,0.5287081339712919,182,0.5384615384615384,
17,linear,form_matchup,0.1,True,872,0.5160550458715596,0.8428769402302124,0.5432119029229235,483,0.525879917184265,259,0.5366795366795367,
18,hierarchical,form_matchup,0.01,True,872,0.5412844036697247,0.7884591698070115,0.5203437028947797,264,0.5378787878787878,51,0.5686274509803921,
19,hierarchical,form_matchup,0.03,True,872,0.536697247706422,0.7969541312992044,0.526183039909691,358,0.5223463687150838,128,0.5546875,
20,tree,form_matchup,,True,872,0.5252293577981652,0.7861865894845997,0.5183617152131089,222,0.5720720720720721,39,0.6153846153846154,0.75
