id,fold,train_end,validation_start,validation_end,games,accuracy,log_loss,brier,conf_55_games,conf_55_accuracy,conf_60_games,conf_60_accuracy
0,0,2024-06-30 18:00:00,2024-07-02 18:00:00,2024-10-31 18:00:00,446,0.5201793721973094,0.7757091243798755,0.5152122349862208,27,0.6296296296296297,10,0.4
0,1,2024-10-31 18:00:00,2025-03-28 18:00:00,2025-06-29 17:00:00,426,0.5093896713615024,0.7974273239878956,0.5224930455454622,72,0.5277777777777778,0,
1,0,2024-06-30 18:00:00,2024-07-02 18:00:00,2024-10-31 18:00:00,446,0.531390134529148,0.7807759826432681,0.5185308520767294,79,0.5316455696202531,22,0.5
1,1,2024-10-31 18:00:00,2025-03-28 18:00:00,2025-06-29 17:00:00,426,0.5046948356807511,0.8011827785060442,0.5248045047818143,104,0.6153846153846154,4,0.25
2,0,2024-06-30 18:00:00,2024-07-02 18:00:00,2024-10-31 18:00:00,446,0.5269058295964125,0.789873269093366,0.5203759885768556,114,0.5350877192982456,43,0.5813953488372093
2,1,2024-10-31 18:00:00,2025-03-28 18:00:00,2025-06-29 17:00:00,426,0.5140845070422535,0.8185402341095706,0.5311592197294592,123,0.5853658536585366,12,0.3333333333333333
3,0,2024-06-30 18:00:00,2024-07-02 18:00:00,2024-10-31 18:00:00,446,0.5291479820627802,0.803709321502906,0.5249218346024562,145,0.5793103448275863,51,0.5294117647058824
3,1,2024-10-31 18:00:00,2025-03-28 18:00:00,2025-06-29 17:00:00,426,0.528169014084507,0.836544949606472,0.5324798565057126,140,0.5642857142857143,22,0.45454545454545453
4,0,2024-06-30 18:00:00,2024-07-02 18:00:00,2024-10-31 18:00:00,446,0.5358744394618834,0.7795769749257242,0.5179307828780939,44,0.4772727272727273,15,0.4666666666666667
4,1,2024-10-31 18:00:00,2025-03-28 18:00:00,2025-06-29 17:00:00,426,0.5070422535211268,0.7972252181513925,0.5224710107003602,81,0.5308641975308642,1,0.0
5,0,2024-06-30 18:00:00,2024-07-02 18:00:00,2024-10-31 18:00:00,446,0.5224215246636771,0.7877350904343273,0.5223937303107976,91,0.5384615384615384,30,0.5
5,1,2024-10-31 18:00:00,2025-03-28 18:00:00,2025-06-29 17:00:00,426,0.49765258215962443,0.7971136945638394,0.522343421197617,106,0.6037735849056604,3,0.0
6,0,2024-06-30 18:00:00,2024-07-02 18:00:00,2024-10-31 18:00:00,446,0.4977578475336323,0.7788235047289558,0.5168713568136449,98,0.5714285714285714,19,0.631578947368421
6,1,2024-10-31 18:00:00,2025-03-28 18:00:00,2025-06-29 17:00:00,426,0.5211267605633803,0.7956466956984842,0.520477768548708,119,0.5882352941176471,13,0.6153846153846154
7,0,2024-06-30 18:00:00,2024-07-02 18:00:00,2024-10-31 18:00:00,446,0.5291479820627802,0.7764404634930004,0.5157926776187624,57,0.5964912280701754,8,0.375
7,1,2024-10-31 18:00:00,2025-03-28 18:00:00,2025-06-29 17:00:00,426,0.5563380281690141,0.7945825169535103,0.5199998888366774,120,0.55,17,0.6470588235294118
8,0,2024-06-30 18:00:00,2024-07-02 18:00:00,2024-10-31 18:00:00,446,0.5246636771300448,0.7865516030630101,0.5229038533003723,145,0.5517241379310345,50,0.5
8,1,2024-10-31 18:00:00,2025-03-28 18:00:00,2025-06-29 17:00:00,426,0.5469483568075117,0.7996264988453214,0.5242011733493522,179,0.5251396648044693,49,0.5714285714285714
9,0,2024-06-30 18:00:00,2024-07-02 18:00:00,2024-10-31 18:00:00,446,0.5224215246636771,0.8057314105604511,0.5318528164956313,209,0.5311004784688995,103,0.5436893203883495
