id,group,half_life,c,cols,games,accuracy,log_loss,brier,conf_55_games,conf_55_accuracy,conf_60_games,conf_60_accuracy
0,elo,30,0.01,"['rest_diff', 'elo_10', 'elo_20', 'elo_40']",872,0.5275229357798165,0.7788791894294139,0.5145075134721304,152,0.631578947368421,5,0.6
1,elo,30,0.1,"['rest_diff', 'elo_10', 'elo_20', 'elo_40']",872,0.5217889908256881,0.7780133710033665,0.5140300794295097,180,0.6666666666666666,10,0.3
2,elo,30,1.0,"['rest_diff', 'elo_10', 'elo_20', 'elo_40']",872,0.5321100917431193,0.7777061523017295,0.5138267676562416,198,0.6767676767676768,11,0.36363636363636365
3,ratings,30,0.01,"['rest_diff', 'attack_diff_30', 'defense_diff_30', 'margin_diff_30', 'scoring_context_30']",872,0.5229357798165137,0.7774497500691382,0.5131388861347834,218,0.6100917431192661,11,0.45454545454545453
4,ratings,30,0.1,"['rest_diff', 'attack_diff_30', 'defense_diff_30', 'margin_diff_30', 'scoring_context_30']",872,0.5355504587155964,0.7769520324664524,0.5128572996958878,266,0.6165413533834586,29,0.6206896551724138
5,ratings,30,1.0,"['rest_diff', 'attack_diff_30', 'defense_diff_30', 'margin_diff_30', 'scoring_context_30']",872,0.5412844036697247,0.7768660429020778,0.5128329065998867,274,0.6131386861313869,29,0.6551724137931034
6,combined,30,0.01,"['rest_diff', 'elo_10', 'elo_20', 'elo_40', 'attack_diff_30', 'defense_diff_30', 'margin_diff_30', 'scoring_context_30']",872,0.5321100917431193,0.7780478343027336,0.5135231237947219,230,0.6217391304347826,10,0.3
7,combined,30,0.1,"['rest_diff', 'elo_10', 'elo_20', 'elo_40', 'attack_diff_30', 'defense_diff_30', 'margin_diff_30', 'scoring_context_30']",872,0.5355504587155964,0.7777435908897016,0.513409997066103,260,0.6423076923076924,22,0.5454545454545454
8,combined,30,1.0,"['rest_diff', 'elo_10', 'elo_20', 'elo_40', 'attack_diff_30', 'defense_diff_30', 'margin_diff_30', 'scoring_context_30']",872,0.533256880733945,0.7778466160712734,0.5135577749908241,278,0.6187050359712231,32,0.625
9,ratings,60,0.01,"['rest_diff', 'attack_diff_60', 'defense_diff_60', 'margin_diff_60', 'scoring_context_60']",872,0.5412844036697247,0.7779020518319397,0.5135985048612526,242,0.6033057851239669,24,0.5833333333333334
10,ratings,60,0.1,"['rest_diff', 'attack_diff_60', 'defense_diff_60', 'margin_diff_60', 'scoring_context_60']",872,0.5412844036697247,0.7780252747286287,0.5139103086778315,280,0.5964285714285714,40,0.65
11,ratings,60,1.0,"['rest_diff', 'attack_diff_60', 'defense_diff_60', 'margin_diff_60', 'scoring_context_60']",872,0.5344036697247706,0.7785721157789369,0.5142304934539732,292,0.5821917808219178,52,0.6346153846153846
12,combined,60,0.01,"['rest_diff', 'elo_10', 'elo_20', 'elo_40', 'attack_diff_60', 'defense_diff_60', 'margin_diff_60', 'scoring_context_60']",872,0.5389908256880734,0.778437993834219,0.5138914358847718,243,0.6172839506172839,18,0.5555555555555556
13,combined,60,0.1,"['rest_diff', 'elo_10', 'elo_20', 'elo_40', 'attack_diff_60', 'defense_diff_60', 'margin_diff_60', 'scoring_context_60']",872,0.5355504587155964,0.7788481733354865,0.5143581563360247,269,0.5985130111524164,30,0.6
14,combined,60,1.0,"['rest_diff', 'elo_10', 'elo_20', 'elo_40', 'attack_diff_60', 'defense_diff_60', 'margin_diff_60', 'scoring_context_60']",872,0.536697247706422,0.7798019273163787,0.5151784948320521,289,0.5778546712802768,39,0.6410256410256411
15,ratings,120,0.01,"['rest_diff', 'attack_diff_120', 'defense_diff_120', 'margin_diff_120', 'scoring_context_120']",872,0.536697247706422,0.7789564117348842,0.5146727536879412,260,0.5692307692307692,36,0.6388888888888888
16,ratings,120,0.1,"['rest_diff', 'attack_diff_120', 'defense_diff_120', 'margin_diff_120', 'scoring_context_120']",872,0.5412844036697247,0.7794022002212331,0.5152970565569456,276,0.5760869565217391,54,0.6111111111111112
17,ratings,120,1.0,"['rest_diff', 'attack_diff_120', 'defense_diff_120', 'margin_diff_120', 'scoring_context_120']",872,0.5401376146788991,0.7805644549444134,0.5161000455054475,308,0.5681818181818182,67,0.5970149253731343
18,combined,120,0.01,"['rest_diff', 'elo_10', 'elo_20', 'elo_40', 'attack_diff_120', 'defense_diff_120', 'margin_diff_120', 'scoring_context_120']",872,0.533256880733945,0.7794497533697937,0.5148652100788143,243,0.6049382716049383,25,0.6
19,combined,120,0.1,"['rest_diff', 'elo_10', 'elo_20', 'elo_40', 'attack_diff_120', 'defense_diff_120', 'margin_diff_120', 'scoring_context_120']",872,0.536697247706422,0.7802375879013651,0.5155593140049751,276,0.5833333333333334,38,0.5526315789473685
20,combined,120,1.0,"['rest_diff', 'elo_10', 'elo_20', 'elo_40', 'attack_diff_120', 'defense_diff_120', 'margin_diff_120', 'scoring_context_120']",872,0.5298165137614679,0.7819897103140295,0.5168973614404629,305,0.5508196721311476,57,0.5964912280701754
