id,fold,train_games,train_end,validation_start,games,accuracy,log_loss,brier,conf_55_games,conf_55_accuracy,conf_60_games,conf_60_accuracy
0,0,1993,2024-06-30 18:00:00,2024-07-02 18:00:00,446,0.5291479820627802,0.762873731850928,0.508520630138458,92,0.6521739130434783,5,0.6
0,1,2439,2024-10-31 18:00:00,2025-03-28 18:00:00,426,0.5258215962441315,0.7956360769411621,0.5207754711407169,60,0.6,0,
1,0,1993,2024-06-30 18:00:00,2024-07-02 18:00:00,446,0.5269058295964125,0.7613591906212809,0.5079350248721918,105,0.6952380952380952,9,0.3333333333333333
1,1,2439,2024-10-31 18:00:00,2025-03-28 18:00:00,426,0.5164319248826291,0.7954494377883672,0.5204112867829458,75,0.6266666666666667,1,0.0
2,0,1993,2024-06-30 18:00:00,2024-07-02 18:00:00,446,0.5336322869955157,0.7608650234159546,0.5076831847898338,113,0.6991150442477876,10,0.4
2,1,2439,2024-10-31 18:00:00,2025-03-28 18:00:00,426,0.5305164319248826,0.7953379445154748,0.520258781643138,85,0.6470588235294118,1,0.0
3,0,1993,2024-06-30 18:00:00,2024-07-02 18:00:00,446,0.5269058295964125,0.7624634976125833,0.5084558312853296,103,0.6310679611650486,6,0.5
3,1,2439,2024-10-31 18:00:00,2025-03-28 18:00:00,426,0.5187793427230047,0.7931395824532311,0.5180418027142585,115,0.591304347826087,5,0.4
4,0,1993,2024-06-30 18:00:00,2024-07-02 18:00:00,446,0.5336322869955157,0.7611116166512311,0.5080478989754966,138,0.6159420289855072,16,0.5625
4,1,2439,2024-10-31 18:00:00,2025-03-28 18:00:00,426,0.5375586854460094,0.7935361297753462,0.5178924938773302,128,0.6171875,13,0.6923076923076923
5,0,1993,2024-06-30 18:00:00,2024-07-02 18:00:00,446,0.5381165919282511,0.7605874298947494,0.5079666615183157,139,0.6187050359712231,16,0.625
5,1,2439,2024-10-31 18:00:00,2025-03-28 18:00:00,426,0.5446009389671361,0.7939089100412058,0.5179276138918602,135,0.6074074074074074,13,0.6923076923076923
6,0,1993,2024-06-30 18:00:00,2024-07-02 18:00:00,446,0.5448430493273543,0.7634032518976048,0.5089621457238437,117,0.6495726495726496,8,0.375
6,1,2439,2024-10-31 18:00:00,2025-03-28 18:00:00,426,0.5187793427230047,0.7933799557879153,0.518298232291463,113,0.5929203539823009,2,0.0
7,0,1993,2024-06-30 18:00:00,2024-07-02 18:00:00,446,0.5426008968609866,0.7622217238781868,0.5086888736773597,135,0.6666666666666666,12,0.4166666666666667
7,1,2439,2024-10-31 18:00:00,2025-03-28 18:00:00,426,0.528169014084507,0.7939941840519918,0.5183527694402335,125,0.616,10,0.7
8,0,1993,2024-06-30 18:00:00,2024-07-02 18:00:00,446,0.531390134529148,0.7619664788918652,0.5086637966179353,142,0.6408450704225352,18,0.6111111111111112
8,1,2439,2024-10-31 18:00:00,2025-03-28 18:00:00,426,0.5352112676056338,0.794472299597133,0.5186815176065716,136,0.5955882352941176,14,0.6428571428571429
9,0,1993,2024-06-30 18:00:00,2024-07-02 18:00:00,446,0.5426008968609866,0.7637026974701123,0.5098322604211185,113,0.6106194690265486,13,0.5384615384615384
9,1,2439,2024-10-31 18:00:00,2025-03-28 18:00:00,426,0.539906103286385,0.7927680425487826,0.5175415682891865,129,0.5968992248062015,11,0.6363636363636364
10,0,1993,2024-06-30 18:00:00,2024-07-02 18:00:00,446,0.5358744394618834,0.7631935988186944,0.5104418317585216,137,0.5985401459854015,21,0.6190476190476191
10,1,2439,2024-10-31 18:00:00,2025-03-28 18:00:00,426,0.5469483568075117,0.7935532734512359,0.5175416248891277,143,0.5944055944055944,19,0.6842105263157895
