factor_year,venue,venue_key,park_factor,park_run_factor
2023,Coors Field,coors field,112.0,125.0
2023,Tropicana Field,tropicana field,96.0,92.0
2023,Chase Field,chase field,100.0,100.0
2023,Citizens Bank Park,citizens bank park,101.0,102.0
2023,UNIQLO Field at Dodger Stadium,uniqlo field at dodger stadium,99.0,98.0
2023,Angel Stadium,angel stadium,100.0,100.0
2023,T-Mobile Park,t mobile park,92.0,85.0
2023,American Family Field,american family field,97.0,94.0
2023,Busch Stadium,busch stadium,99.0,98.0
2023,Oriole Park at Camden Yards,oriole park at camden yards,101.0,102.0
2023,Wrigley Field,wrigley field,101.0,102.0
2023,Oakland Coliseum,oakland coliseum,96.0,92.0
2023,loanDepot park,loandepot park,98.0,96.0
2023,Daikin Park,daikin park,100.0,100.0
2023,Rate Field,rate field,100.0,100.0
2023,PNC Park,pnc park,101.0,102.0
2023,Oracle Park,oracle park,97.0,94.0
2023,Target Field,target field,100.0,100.0
2023,Citi Field,citi field,96.0,92.0
2023,Great American Ball Park,great american ball park,107.0,114.0
2023,Globe Life Field,globe life field,102.0,104.0
2023,Rogers Centre,rogers centre,100.0,100.0
2023,Petco Park,petco park,95.0,90.0
2023,Kauffman Stadium,kauffman stadium,104.0,108.0
2023,Comerica Park,comerica park,97.0,94.0
2023,Nationals Park,nationals park,103.0,106.0
2023,Fenway Park,fenway park,108.0,117.0
2023,Yankee Stadium,yankee stadium,98.0,96.0
2023,Truist Park,truist park,101.0,102.0
2023,Progressive Field,progressive field,97.0,94.0
2024,Kauffman Stadium,kauffman stadium,104.0,108.0
2024,Daikin Park,daikin park,100.0,100.0
2024,Wrigley Field,wrigley field,97.0,94.0
2024,Oracle Park,oracle park,97.0,94.0
2024,UNIQLO Field at Dodger Stadium,uniqlo field at dodger stadium,100.0,100.0
2024,Busch Stadium,busch stadium,100.0,100.0
2024,loanDepot park,loandepot park,101.0,102.0
2024,Petco Park,petco park,96.0,92.0
2024,Coors Field,coors field,112.0,125.0
2024,Truist Park,truist park,100.0,100.0
2024,Angel Stadium,angel stadium,100.0,100.0
2024,Progressive Field,progressive field,97.0,94.0
2024,Chase Field,chase field,101.0,102.0
2024,Oriole Park at Camden Yards,oriole park at camden yards,99.0,98.0
2024,PNC Park,pnc park,101.0,102.0
2024,T-Mobile Park,t mobile park,91.0,83.0
2024,Comerica Park,comerica park,98.0,96.0
2024,Nationals Park,nationals park,101.0,102.0
2024,Globe Life Field,globe life field,101.0,102.0
2024,Rate Field,rate field,99.0,98.0
2024,Yankee Stadium,yankee stadium,100.0,100.0
2024,Citizens Bank Park,citizens bank park,101.0,102.0
2024,Fenway Park,fenway park,107.0,114.0
2024,Rogers Centre,rogers centre,100.0,100.0
2024,Tropicana Field,tropicana field,96.0,92.0
2024,Target Field,target field,102.0,104.0
2024,American Family Field,american family field,97.0,94.0
2024,Citi Field,citi field,97.0,94.0
2024,Great American Ball Park,great american ball park,105.0,110.0
2024,Oakland Coliseum,oakland coliseum,97.0,94.0
2025,Daikin Park,daikin park,100.0,100.0
2025,Nationals Park,nationals park,101.0,102.0
2025,Target Field,target field,103.0,106.0
2025,Truist Park,truist park,101.0,102.0
2025,Yankee Stadium,yankee stadium,100.0,100.0
2025,Rate Field,rate field,99.0,98.0
2025,Chase Field,chase field,103.0,106.0
2025,Oriole Park at Camden Yards,oriole park at camden yards,100.0,100.0
2025,Progressive Field,progressive field,97.0,94.0
2025,Petco Park,petco park,97.0,94.0
2025,Angel Stadium,angel stadium,101.0,102.0
2025,Coors Field,coors field,112.0,125.0
2025,Kauffman Stadium,kauffman stadium,101.0,102.0
2025,Rogers Centre,rogers centre,100.0,100.0
2025,Comerica Park,comerica park,101.0,102.0
2025,Fenway Park,fenway park,105.0,110.0
2025,Busch Stadium,busch stadium,100.0,100.0
2025,Oracle Park,oracle park,97.0,94.0
2025,UNIQLO Field at Dodger Stadium,uniqlo field at dodger stadium,101.0,102.0
2025,Citi Field,citi field,98.0,96.0
2025,American Family Field,american family field,97.0,94.0
2025,Citizens Bank Park,citizens bank park,101.0,102.0
2025,loanDepot park,loandepot park,101.0,102.0
2025,Great American Ball Park,great american ball park,103.0,106.0
2025,PNC Park,pnc park,99.0,98.0
2025,T-Mobile Park,t mobile park,91.0,83.0
2025,Globe Life Field,globe life field,97.0,94.0
2025,Wrigley Field,wrigley field,97.0,94.0
