pitcher_id,pitcher_name,pitch_hand
434378,Justin Verlander,R
448179,Rich Hill,L
450203,Charlie Morton,R
453286,Max Scherzer,R
456501,Johnny Cueto,R
458681,Lance Lynn,R
471911,Carlos Carrasco,R
476594,Robert Stock,R
477132,Clayton Kershaw,L
489119,Wade Miley,L
500779,Jose Quintana,L
502043,Kyle Gibson,R
502171,Alex Cobb,R
502179,Paolo Espino,R
502624,Chase Anderson,R
506433,Yu Darvish,R
518489,Ryan Brasier,R
518585,Fernando Cruz,R
518876,Merrill Kelly,R
519141,Drew Pomeranz,L
519242,Chris Sale,L
527048,Martín Pérez,L
527054,Julio Teheran,R
542881,Tyler Anderson,L
542888,Shawn Armstrong,R
543037,Gerrit Cole,R
543056,Danny Coulombe,L
543101,Anthony DeSclafani,R
543135,Nathan Eovaldi,R
543243,Sonny Gray,R
543294,Kyle Hendricks,R
543518,Scott McGough,R
544150,Albert Suárez,R
547001,Cody Poteet,R
547179,Michael Lorenzen,R
548389,Ross Stripling,R
554430,Zack Wheeler,R
570632,José Ureña,R
571510,Matthew Boyd,L
571578,Patrick Corbin,L
571656,Buck Farmer,R
571760,Andrew Heaney,L
571927,Steven Matz,L
571945,Miles Mikolas,R
571948,Hoby Milner,L
572020,James Paxton,L
572143,Burch Smith,R
572971,Dallas Keuchel,L
573009,Joe Mantiply,L
573186,Marcus Stroman,R
579328,Yusei Kikuchi,L
592254,José De León,R
592332,Kevin Gausman,R
592351,Jon Gray,R
592662,Robbie Ray,L
592791,Jameson Taillon,R
592836,Taijuan Walker,R
592866,Trevor Williams,R
593334,Domingo Germán,R
593423,Frankie Montas,R
593958,Eduardo Rodriguez,L
593974,Wandy Peralta,L
594798,Jacob deGrom,R
594835,Marco Gonzales,L
594902,Ben Lively,R
595345,Steven Okert,L
596001,Jakob Junis,R
596295,Austin Gomber,L
601713,Nick Pivetta,R
605130,Scott Barlow,R
605135,Chris Bassitt,R
605156,Aaron Brooks,R
605182,Mike Clevinger,R
605280,Clay Holmes,R
605288,Adrian Houser,R
605397,Joe Musgrove,R
605400,Aaron Nola,R
605452,Joe Ross,R
605463,Tayler Scott,R
605483,Blake Snell,L
605488,Jeffrey Springs,L
605513,Spencer Turnbull,R
605540,Brandon Woodruff,R
606965,Chris Devenski,R
606996,Kyle Hart,L
607067,Colin Rea,R
607074,Carlos Rodón,L
607192,Tyler Glasnow,R
607200,Erick Fedde,R
607259,Nick Martinez,R
607455,Anthony Banda,L
607481,Aaron Bummer,L
607536,Kyle Freeland,L
607625,Seth Lugo,R
607644,John Means,L
608331,Max Fried,L
608334,Carson Fulmer,R
608337,Lucas Giolito,R
608344,Cole Irvin,L
608372,Tomoyuki Sugano,R
608379,Michael Wacha,R
608566,Germán Márquez,R
608650,Dietrich Enns,L
608718,Brent Suter,L
615698,Cal Quantrill,R
621097,Jacob Waguespack,R
621107,Zach Eflin,R
621111,Walker Buehler,R
621112,Paul Blackburn,R
621114,Ryan Burr,R
621121,Lance McCullers Jr.,R
621199,Matt Bowman,R
621244,José Berríos,R
621383,Tanner Banks,L
621389,Ty Blach,L
622072,Alex Wood,L
622379,Luis F. Castillo,R
622491,Luis Castillo,R
622503,Nabil Crismatt,R
622608,Antonio Senzatela,R
622663,Luis Severino,R
622694,Elieser Hernández,R
623167,Chris Flexen,R
623211,Huascar Brazobán,R
623381,Thomas Pannone,L
623437,Justin Topa,R
623454,Drew Anderson,R
623474,Jimmy Herget,R
624133,Ranger Suarez,L
625643,Reynaldo López,R
628317,Kenta Maeda,R
630023,Yonny Chirinos,R
640455,Sean Manaea,L
640462,A.J. Puk,L
641154,Pablo López,R
641302,Tyler Alexander,L
641312,Shaun Anderson,R
641482,Nestor Cortes,L
641540,Dane Dunning,R
641582,Matt Foster,R
641585,J.P. France,R
641656,Ian Hamilton,R
641672,Thomas Hatch,R
641703,Brent Honeywell,R
641712,Dakota Hudson,R
641726,Daulton Jefferies,R
641743,Anthony Kay,L
641745,Brad Keller,R
641778,Eric Lauer,L
641793,Zack Littell,R
641816,Tyler Mahle,R
641835,Tim Mayza,L
641927,Bailey Ober,R
641941,Emilio Pagán,R
642121,Cole Sulser,R
642152,Lou Trivino III,R
642216,Allan Winans,R
642232,Ryan Yarbrough,L
642239,Rob Zastryzny,L
642520,Gerson Garabito,R
642547,Freddy Peralta,R
642834,Jonathan Bermúdez,L
643377,Griffin Jax,R
645261,Sandy Alcantara,R
646242,Jhonathan Díaz,L
647315,Zach Pop,R
647336,Michael Soroka,R
650633,Michael King,R
650644,Aaron Civale,R
650911,Cristopher Sánchez,L
656186,Dan Altavilla,R
656222,Jalen Beeks,L
656240,Scott Blewett,R
656271,Brock Burke,L
656288,Griffin Canning,R
656302,Dylan Cease,R
656412,Alex Faedo,R
656427,Jack Flaherty,R
656457,Tyler Gilbert,L
656492,Foster Griffin,L
656550,Grant Holmes,R
656557,Tanner Houck,R
656605,Mitch Keller,R
656641,Jacob Latz,L
656731,Tylor Megill,R
656756,Jordan Montgomery,L
656794,Sean Newcomb,L
656849,David Peterson,L
656876,Drew Rasmussen,R
656986,Bennett Sousa,L
657006,Justin Steele,L
657277,Logan Webb,R
657376,Clarke Schmidt,R
657424,Matt Gage,L
657514,Brennan Bernardino,L
657571,Caleb Ferguson,L
657585,Reed Garrett,R
657649,Jared Koenig,L
657746,Joe Ryan,R
660271,Shohei Ohtani,R
660604,Alan Rangel,R
660730,Elvin Rodríguez,R
660761,José Suarez,L
661563,Luis Gil,R
663362,Matt Waldron,R
663372,Ryan Feltner,R
663436,Davis Martin,R
663460,Kris Bubic,L
663465,Kolby Allard,L
663474,Triston McKenzie,R
663485,Cole Sands,R
663542,Bryan Hudson,L
663546,Sean Hjelle,R
663554,Casey Mize,R
663556,Shane McClanahan,L
663558,Jovani Morán,L
663559,Bailey Falter,L
663567,Peter Lambert,R
663568,Stephen Kolek,R
663574,Tony Santillan,R
663623,Jake Irvin,R
663687,Hogan Harris,L
663738,Daniel Lynch IV,L
663765,Jake Woodford,R
663773,Bryan Hoeing,R
663776,Patrick Sandoval,L
663795,Justin Hagenman,R
663855,Jordan Hicks,R
663878,Nate Pearson,R
663903,Brady Singer,R
663941,Tristan Beck,R
663947,Tyler Holton,L
663969,Tyler Phillips,R
663978,Chris Paddack,R
663992,Richard Lovelady,L
664062,Tony Gonsolin,R
664074,Cody Ponce,R
664126,Pete Fairbanks,R
664141,JT Brubaker,R
664192,Joey Lucchesi,L
664199,Taylor Clarke,R
664285,Framber Valdez,L
664299,Cristian Javier,R
664350,Sixto Sánchez,R
664353,José Urquidy,R
664849,Danny Young,L
665152,Dean Kremer,R
665622,Luis Medina,R
665625,Elvis Peguero,R
665795,Edward Cabrera,R
665871,Javier Assad,R
666129,Braxton Garrett,L
666142,Cole Ragans,L
666157,Nick Lodolo,L
666159,Matt Manning,R
666171,Ryan Zeferjahn,R
666200,Jesús Luzardo,L
666201,Alek Manoah,R
666214,Joey Wentz,L
667463,John King,L
667725,Kyle Tyler,R
667755,José Soriano,R
668390,Cole Winn,R
668676,Zach Plesac,R
668678,Zac Gallen,R
668868,Zack Thompson,L
668873,Caleb Kilian,R
668874,Blair Henley,R
668881,Hunter Greene,R
668909,Gavin Williams,R
668933,Graham Ashcraft,R
668964,Tobias Myers,R
668984,Casey Legumina,R
669020,Ryan Rolison,L
669022,MacKenzie Gore,L
669060,Bryse Wilson,R
669062,Erik Miller,L
669084,DL Hall,L
669145,Bruce Zimmermann,L
669160,Dustin May,R
669165,Kyle Hurt,R
669194,Ryne Nelson,R
669199,Lake Bachar,R
669203,Corbin Burnes,R
669211,Keegan Akin,L
669302,Logan Gilbert,R
669308,Sean Reynolds,R
669330,Tyler Wells,R
669358,Shane Baz,R
669372,J.T. Ginn,R
669373,Tarik Skubal,L
669387,Carmen Mlodzinski,R
669422,Matt Sauer,R
669432,Trevor Rogers,L
669438,Mason Englert,R
669456,Shane Bieber,R
669461,Matthew Liberatore,L
669467,Andre Pallante,R
669620,Brady Basso,L
669684,Chris Murphy,L
669713,Hayden Wesneski,R
669721,Davis Daniel,R
669724,Brenan Hanifee,R
669854,Ronel Blanco,R
669920,Jason Alexander,R
669923,George Kirby,R
669947,Jesse Scholtens,R
670046,Kenny Rosenberg,L
670102,Bowden Francis,R
670124,Adam Oller,R
670174,Josh Winckowski,R
670241,Darius Vines,R
670329,Rico Garcia,R
670766,Darren McCaughan,R
670912,Johan Oviedo,R
670950,Trevor Richards,R
670990,Yohan Ramírez,R
671096,Andrew Abbott,L
671106,Logan Allen,L
671111,Sammy Peralta,L
671131,Jackson Rutledge,R
671212,Joe Boyle,R
671737,Taj Bradley,R
671936,Adam Macko,L
672282,Reid Detmers,L
672335,Cionel Pérez,L
672456,Keider Montero,R
672582,Angel Zerpa,L
672710,Roansy Contreras,R
672782,Yoendrys Gómez,R
672851,Joan Adon,R
673540,Kodai Senga,R
673929,Jordan Leasure,R
674003,Cody Bradford,L
674072,Tommy Henry,L
674370,Osvaldo Bido,R
674444,Steven Cruz,R
674841,Andrew Alvarez,L
674944,Sean Guenther,L
675512,Troy Melton,R
675540,Xzavion Curry,R
675627,Michael Grove,R
675650,Michael Mercado,R
675660,Shane Drohan,L
675848,Juan Mejia,R
675911,Spencer Strider,R
675921,Spencer Howard,R
675989,Cody Bolton,R
676083,Janson Junk,R
676106,Emerson Hancock,R
676130,José Buttó,R
676254,Ryan Walker,R
676263,Jack Dreyer,L
676272,Bobby Miller,R
676282,Joey Cantillo,L
676428,Brant Hurter,L
676440,Tanner Bibee,R
676467,Colton Gordon,L
676477,Garrett Whitlock,R
676508,Ben Casparius,R
676571,PJ Poulin,L
676596,Josh Fleming,L
676664,JP Sears,L
676710,Kutter Crawford,R
676714,Brandon Hughes,L
676775,Keaton Winn,R
676879,Aaron Ashby,L
676917,Cade Cavalli,R
676961,Caleb Boushley,R
676962,Ben Brown,R
676974,Max Meyer,R
676979,Garrett Crochet,L
677161,Zack Kelly,R
677651,Luis Garcia,R
677944,Slade Cecconi,R
677952,Braxton Ashcraft,R
677958,Kumar Rocker,R
677960,Ryan Weathers,L
677976,Randy Dobnak,R
678022,Jack Perkins,R
678024,Mike Vasil,R
678061,Ray Kerr,L
678368,Valente Bellozo,R
678394,Brayan Bello,R
678495,Randy Rodríguez,R
678692,Ronny Henriquez,R
678868,Eddy Yean,R
678906,Kai-Wei Teng,R
679156,Walter Pennington,L
679525,Alec Marsh,R
679775,Kyle Backhus,L
679883,Luinder Avila,R
680570,Grayson Rodriguez,R
680573,Simeon Woods Richardson,R
680684,Gunnar Hoglund,R
680686,Josiah Gray,R
680689,Lyon Richardson,R
680694,Kyle Bradish,R
680730,Mitchell Parker,L
680732,Sean Burke,R
680735,Austin Cox,L
680736,Justin Wrobleski,L
680742,Jonathan Bowlan,R
680744,Ty Madden,R
680755,Braydon Fisher,R
680802,Ryan Weiss,R
680880,Grant Holman,R
680885,Spencer Schwellenbach,R
680897,Nick Nastrini,R
680951,Doug Nikhazy,L
681035,Christian Scott,R
681066,Ky Bush,L
681151,Jayden Murray,R
681190,Randy Vásquez,R
681217,Chase Silseth,R
681293,Spencer Arrighetti,R
681343,Shane Smith,R
681347,Mike Burrows,R
681432,Luke Little,L
681517,Kyle Leahy,R
681810,Austin Warren,R
681857,Reese Olson,R
681867,Cooper Criswell,R
681869,Shawn Dubin,R
682052,Jacob Lopez,L
682227,Brandon Williamson,L
682243,Bryce Miller,R
682254,Mason Montgomery,L
682610,Roddery Muñoz,R
682847,Luis Ortiz,R
682989,Victor Mederos,R
682990,Quinn Priester,R
683003,Jared Jones,R
683004,Jack Leiter,R
683155,Joey Estes,R
683352,Mitch Bratt,L
683363,Matt Wilkinson,L
683618,Edgardo Henriquez,R
683627,Anthony Molina,R
684007,Shota Imanaga,L
684320,Yariel Rodríguez,R
