strategy,fold,weights,reason,eligible_grid,train_games,train_to,validation_from,validation_to,games,accuracy,roc_auc,log_loss,confidence_55_games,confidence_55_wins,confidence_55_accuracy,confidence_55_lcb,confidence_60_games,confidence_60_wins,confidence_60_accuracy,confidence_60_lcb,score
v9,1,"{""linear"": 0.35000000000000003, ""tree"": 0.5, ""run"": 0.1499999999999999}",minimum_inner_log_loss,,932,2024-06-30 23:10:00+00:00,2024-07-01 19:07:00+00:00,2024-09-29 19:20:00+00:00,1150,0.5252173913043479,0.5436923756585098,0.6971119932150814,705,381,0.5404255319148936,0.5035175099850093,290,156,0.5379310344827586,0.48042756057293057,2.553956544592138
fixed_prior,1,"{""linear"": 0.44, ""tree"": 0.36, ""run"": 0.2}",predeclared_fixed_prior,,932,2024-06-30 23:10:00+00:00,2024-07-01 19:07:00+00:00,2024-09-29 19:20:00+00:00,1150,0.5260869565217391,0.5439889131296505,0.6981396560887556,734,396,0.5395095367847411,0.5033378827661011,339,187,0.551622418879056,0.4983963988603169,2.62570961223286
logloss_shrink50,1,"{""linear"": 0.32, ""tree"": 0.5549999999999999, ""run"": 0.12500000000000003}",minimum_inner_log_loss,,932,2024-06-30 23:10:00+00:00,2024-07-01 19:07:00+00:00,2024-09-29 19:20:00+00:00,1150,0.5226086956521739,0.5426787016500192,0.6967972953329031,694,373,0.537463976945245,0.5002636908364754,267,145,0.5430711610486891,0.48313028103109684,2.5607507055197227
hit_shrink50,1,"{""linear"": 0.44, ""tree"": 0.36, ""run"": 0.2}",insufficient_inner_evidence,0.0,932,2024-06-30 23:10:00+00:00,2024-07-01 19:07:00+00:00,2024-09-29 19:20:00+00:00,1150,0.5260869565217391,0.5439889131296505,0.6981396560887556,734,396,0.5395095367847411,0.5033378827661011,339,187,0.551622418879056,0.4983963988603169,2.62570961223286
hit_cap15,1,"{""linear"": 0.44, ""tree"": 0.36, ""run"": 0.2}",insufficient_inner_evidence,0.0,932,2024-06-30 23:10:00+00:00,2024-07-01 19:07:00+00:00,2024-09-29 19:20:00+00:00,1150,0.5260869565217391,0.5439889131296505,0.6981396560887556,734,396,0.5395095367847411,0.5033378827661011,339,187,0.551622418879056,0.4983963988603169,2.62570961223286
v9,2,"{""linear"": 0.1, ""tree"": 0.8, ""run"": 0.09999999999999998}",minimum_inner_log_loss,,2082,2024-09-29 19:20:00+00:00,2025-03-18 10:10:00+00:00,2025-06-30 23:35:00+00:00,1245,0.5654618473895582,0.5606457219877496,0.6844793061516516,329,202,0.6139817629179332,0.560347587770654,10,8,0.8,0.49015684672072346,2.6653651994974545
fixed_prior,2,"{""linear"": 0.44, ""tree"": 0.36, ""run"": 0.2}",predeclared_fixed_prior,,2082,2024-09-29 19:20:00+00:00,2025-03-18 10:10:00+00:00,2025-06-30 23:35:00+00:00,1245,0.5622489959839357,0.5690971445224478,0.6822602823226271,482,291,0.6037344398340249,0.5594129166147078,89,58,0.651685393258427,0.5482912406815136,2.899304765429758
logloss_shrink50,2,"{""linear"": 0.32, ""tree"": 0.5549999999999999, ""run"": 0.12500000000000003}",minimum_inner_log_loss,,2082,2024-09-29 19:20:00+00:00,2025-03-18 10:10:00+00:00,2025-06-30 23:35:00+00:00,1245,0.5646586345381526,0.5640621991392455,0.6834333652340572,424,253,0.5966981132075472,0.5493373722528263,30,21,0.7,0.5212387898833981,2.7797562453890117
hit_shrink50,2,"{""linear"": 0.52, ""tree"": 0.33, ""run"": 0.14999999999999994}",maximum_inner_robust_score,107.0,2082,2024-09-29 19:20:00+00:00,2025-03-18 10:10:00+00:00,2025-06-30 23:35:00+00:00,1245,0.563855421686747,0.5655739837736851,0.682859630204168,525,314,0.5980952380952381,0.5555896948549702,66,45,0.6818181818181818,0.5621232331830928,2.9499539810159625
hit_cap15,2,"{""linear"": 0.5, ""tree"": 0.35000000000000003, ""run"": 0.14999999999999997}",maximum_inner_robust_score,20.0,2082,2024-09-29 19:20:00+00:00,2025-03-18 10:10:00+00:00,2025-06-30 23:35:00+00:00,1245,0.5606425702811245,0.5658159733967536,0.6828578852500521,518,310,0.5984555984555985,0.5556645409415997,65,44,0.676923076923077,0.5561376050627119,2.925516690217688
