fold,inner_fold,train_games,validation_games,train_to,validation_from,validation_to,used,shared_utc_day
1,1,195,184,2024-05-05 23:10:00+00:00,2024-05-06 20:05:00+00:00,2024-05-19 23:10:00+00:00,False,False
1,2,379,185,2024-05-19 23:10:00+00:00,2024-05-20 16:20:00+00:00,2024-06-02 23:10:00+00:00,False,False
1,3,564,183,2024-06-02 23:10:00+00:00,2024-06-03 22:40:00+00:00,2024-06-16 23:10:00+00:00,True,False
1,4,747,185,2024-06-16 23:10:00+00:00,2024-06-17 22:40:00+00:00,2024-06-30 23:10:00+00:00,True,False
2,1,437,407,2024-05-24 23:40:00+00:00,2024-05-25 00:40:00+00:00,2024-06-24 23:45:00+00:00,False,False
2,2,844,419,2024-06-24 23:45:00+00:00,2024-06-25 00:10:00+00:00,2024-07-29 23:45:00+00:00,True,False
2,3,1263,407,2024-07-29 23:45:00+00:00,2024-07-30 00:10:00+00:00,2024-08-29 23:10:00+00:00,True,False
2,4,1670,412,2024-08-29 23:10:00+00:00,2024-08-30 00:10:00+00:00,2024-09-29 19:20:00+00:00,True,False
3,1,670,679,2024-06-11 23:45:00+00:00,2024-06-12 00:10:00+00:00,2024-08-05 22:45:00+00:00,True,False
3,2,1349,676,2024-08-05 22:45:00+00:00,2024-08-06 00:05:00+00:00,2024-09-25 23:40:00+00:00,True,False
3,3,2025,635,2024-09-25 23:40:00+00:00,2024-09-26 00:40:00+00:00,2025-05-10 23:15:00+00:00,True,False
3,4,2660,667,2025-05-10 23:15:00+00:00,2025-05-11 00:10:00+00:00,2025-06-30 23:35:00+00:00,True,False
