outer_fold,calibration,component,calibration_member,sigmoid_a,sigmoid_b
1,rows,linear,0,-0.10222176321789637,-0.22153013485220152
1,rows,linear,1,-0.07619655919885009,-0.11975734609878431
1,rows,linear,2,-0.13983169850373314,-0.34101671955088986
1,rows,tree,0,-0.1604358322788733,-0.1412740915166542
1,rows,tree,1,-0.3805691346851075,-0.09542624294435634
1,rows,tree,2,-0.14395759826998017,-0.389401698851641
1,days,linear,0,-0.06953482814315709,-0.18361115461952565
1,days,linear,1,-0.08268280238528139,-0.08648771105859641
1,days,linear,2,-0.15192952022821618,-0.3389331967193269
1,days,tree,0,-0.07415163926343656,-0.12687065652355806
1,days,tree,1,-0.3856360098251374,-0.06319915359998048
1,days,tree,2,-0.14187828169616967,-0.3873727951225378
2,rows,linear,0,-0.10894992238169836,-0.111394113213581
2,rows,linear,1,-0.10145874546236565,-0.04038824058102894
2,rows,linear,2,-0.11526928867256438,-0.03230507590056898
2,rows,tree,0,-0.21017950805770572,-0.14120839249744963
2,rows,tree,1,-0.15799551919970498,-0.0206265002294269
2,rows,tree,2,-0.0363767604778386,-0.053777428782285856
2,days,linear,0,-0.11418150071501021,-0.07465706631059402
2,days,linear,1,-0.10328778289040882,-0.03355327659056774
2,days,linear,2,-0.11526928867256438,-0.03230507590056898
2,days,tree,0,-0.232681872055157,-0.10472055616040082
2,days,tree,1,-0.11338598892960375,-0.029519564536662848
2,days,tree,2,-0.0363767604778386,-0.053777428782285856
3,rows,linear,0,-0.09570379776625691,0.0002501098632056419
3,rows,linear,1,-0.23430944059235276,-0.13606178909654254
3,rows,linear,2,-0.08651564693879428,-0.030445365098618428
3,rows,tree,0,-0.1132486405926021,-0.01947751334994107
3,rows,tree,1,-0.2827189915047897,-0.21491090759335635
3,rows,tree,2,-0.24657242583233097,0.004731415486930574
3,days,linear,0,-0.046901318952564504,-0.0390839512944075
3,days,linear,1,-0.24929351214085232,-0.14214234960011674
3,days,linear,2,-0.08651564693879428,-0.030445365098618428
3,days,tree,0,-0.09708140942256831,-0.03272662591283723
3,days,tree,1,-0.30241948176229205,-0.21594593527573985
3,days,tree,2,-0.24657242583233097,0.004731415486930574
