outer_fold,calibration,component,probability_std,mean_confidence,p05,p50,p95,games,accuracy,roc_auc,log_loss,confidence_55_games,confidence_55_wins,confidence_55_accuracy,confidence_55_lcb,confidence_60_games,confidence_60_wins,confidence_60_accuracy,confidence_60_lcb,score
1,rows,linear,0.03973850617600807,0.5684792243821231,0.5040010378882838,0.5673474839653634,0.627453084560872,1150,0.5139130434782608,0.5320305857220233,0.6987898303906794,792,418,0.5277777777777778,0.49295844754587304,211,113,0.5355450236966824,0.4682154950475225,2.4884542460700865
1,rows,tree,0.04759271278788734,0.5647278035206302,0.4826878537767098,0.5598667606851442,0.6374537282701255,1150,0.5208695652173913,0.5371655254008552,0.6966769808052516,673,360,0.5349182763744428,0.4971426693351458,240,126,0.525,0.46192495220999935,2.470830652677828
1,rows,run,0.2084578954635827,0.6851654178762021,0.1960248580446976,0.5883690474631538,0.8856904289745484,1150,0.542608695652174,0.5400431492279435,0.7942190607946836,994,542,0.545271629778672,0.5142004560473494,798,442,0.5538847117794486,0.5192187246605711,2.7027662264295147
1,rows,linear_uncalibrated_member_mean,0.2148779076221133,0.6936897339351068,0.21688861453622385,0.600293350796208,0.9184804715911887,1150,0.5295652173913044,0.5343756524580838,0.8224297690871178,986,522,0.5294117647058824,0.498202408394019,825,441,0.5345454545454545,0.5004262463761076,2.6016471792967115
1,rows,tree_uncalibrated_member_mean,0.1730255588084667,0.644511668183838,0.24185850024973343,0.5299748894751486,0.8080071785677876,1150,0.5356521739130434,0.5421189115259274,0.7371194546803522,900,484,0.5377777777777778,0.5051128190290959,698,383,0.5487106017191977,0.511627085321747,2.6739633776204004
1,days,linear,0.036754060687695475,0.5699687855573786,0.512464501984189,0.5683451952746321,0.6243854039315508,1150,0.5165217391304348,0.5298065546884692,0.699524671508784,821,431,0.5249695493300852,0.4907731376147081,205,109,0.5317073170731708,0.4634443248095749,2.4668918167838787
1,days,tree,0.04376425262686579,0.559093510216436,0.48426976560281293,0.5537204754676927,0.6288034863387038,1150,0.52,0.526865387117565,0.6970683507232368,622,331,0.5321543408360129,0.49286392301760545,193,102,0.5284974093264249,0.4582023772469465,2.4483193779960137
1,days,run,0.2084578954635827,0.6851654178762021,0.1960248580446976,0.5883690474631538,0.8856904289745484,1150,0.542608695652174,0.5400431492279435,0.7942190607946836,994,542,0.545271629778672,0.5142004560473494,798,442,0.5538847117794486,0.5192187246605711,2.7027662264295147
1,days,linear_uncalibrated_member_mean,0.2199505549770468,0.7089453196812628,0.23322573859357923,0.6262006675756788,0.9387789806950888,1150,0.5347826086956522,0.5306114421101364,0.8587921519989791,996,531,0.5331325301204819,0.5020803106171722,836,448,0.5358851674641149,0.5019914275683621,2.6044275448629963
1,days,tree_uncalibrated_member_mean,0.17495177678299573,0.647177555727813,0.2396028903470925,0.5285736871850565,0.8139112601529519,1150,0.5295652173913044,0.5399796054841277,0.7414066184416236,931,503,0.5402792696025779,0.5081653499763099,712,391,0.5491573033707865,0.5124416226234448,2.6775574419052632
2,rows,linear,0.02897821977375577,0.5659002218032826,0.5182912339698911,0.5666949511234002,0.6095633259584553,1245,0.5437751004016064,0.5242041663847792,0.6885636885443696,886,487,0.5496613995485328,0.5167561487505383,123,73,0.5934959349593496,0.5051369744531611,2.6656075788500635
2,rows,tree,0.029169370710262838,0.5341989680750292,0.4768135116180591,0.530541351945011,0.5748138142729594,1245,0.551004016064257,0.5453639471890173,0.6865088967113567,296,175,0.5912162162162162,0.5343897642858569,4,3,0.75,0.30063605244263664,1.8734421820836886
2,rows,run,0.17860253651348137,0.6495138969350049,0.1817531348466764,0.4613608365784452,0.7735251952929595,1245,0.5477911646586345,0.5715326529868805,0.7338770797104978,1009,557,0.5520317145688801,0.5212076802731453,772,437,0.5660621761658031,0.5308584415676907,2.7788840594295996
2,rows,linear_uncalibrated_member_mean,0.14069605520200262,0.8161594146197543,0.5290270504260904,0.8493970992498574,0.9595032580485046,1245,0.5453815261044177,0.5229343713734083,0.976224544365418,1201,661,0.5503746877601998,0.5221240012602814,1145,636,0.5554585152838428,0.5265376843598452,2.6989864464594846
2,rows,tree_uncalibrated_member_mean,0.16858014934055107,0.6500566547498668,0.25598747541610417,0.5744617541414205,0.8115341320676814,1245,0.5381526104417671,0.5475288436018464,0.7234894024980867,1007,549,0.5451837140019861,0.5143139504521276,798,443,0.5551378446115288,0.5204753210193719,2.723406529198905
2,days,linear,0.029950157753088624,0.5696774512384302,0.5199569802248698,0.5703827259948416,0.6149341910816972,1245,0.5437751004016064,0.524711563981536,0.6889420469949367,937,515,0.5496264674493063,0.5176311735245424,173,105,0.6069364161849711,0.532586804400314,2.7763584710015934
2,days,tree,0.027383261541133772,0.5317245932277325,0.479025105565793,0.528184178022836,0.5686040515644073,1245,0.5373493975903615,0.5411538481554146,0.6872647945070258,251,152,0.6055776892430279,0.5439601787214676,2,2,1.0,0.3423719528896193,2.045811065343236
2,days,run,0.17860253651348137,0.6495138969350049,0.1817531348466764,0.4613608365784452,0.7735251952929595,1245,0.5477911646586345,0.5715326529868805,0.7338770797104978,1009,557,0.5520317145688801,0.5212076802731453,772,437,0.5660621761658031,0.5308584415676907,2.7788840594295996
2,days,linear_uncalibrated_member_mean,0.1300415288388679,0.8394785509896102,0.5733486217363066,0.8737487451135474,0.9637884770596051,1245,0.5429718875502008,0.5246907476698741,1.025133738959494,1217,663,0.5447822514379622,0.5167060574380228,1184,654,0.5523648648648649,0.5239167946641747,2.6733480901138256
2,days,tree_uncalibrated_member_mean,0.1664221939897501,0.6492541571353156,0.26116143075915854,0.5749829048088507,0.8140203378108288,1245,0.5309236947791165,0.5452130289294692,0.7243164906835345,1018,555,0.5451866404715128,0.5144844132314981,782,434,0.5549872122762148,0.5199704479730914,2.719251554621821
3,rows,linear,0.02929967292195044,0.5566059166925014,0.5054457297513915,0.5566062636253158,0.6006769852107408,1155,0.5324675324675324,0.5377357921287972,0.6891279382233322,683,385,0.5636896046852123,0.5262426312743194,63,38,0.6031746031746031,0.47980694060752427,2.5754590501918955
3,rows,tree,0.032411431329563624,0.5347560055220566,0.4732896619669706,0.5272246651114155,0.5790337482643629,1155,0.5246753246753246,0.5077571537189685,0.6910508316041512,313,167,0.5335463258785943,0.4782060962168516,8,6,0.75,0.40926987910258916,2.234337657357133
3,rows,run,0.17026820976440699,0.640154062039685,0.216691262755817,0.5007186094514058,0.7844880101944927,1155,0.5047619047619047,0.513067379524252,0.7486655422760093,917,466,0.5081788440567067,0.4758541509794343,684,352,0.5146198830409356,0.47718766707856164,2.4897443056481356
3,rows,linear_uncalibrated_member_mean,0.12658739083823883,0.7237541398922087,0.4746618866035705,0.7290164237147105,0.8871947562843145,1155,0.5298701298701298,0.5378745821214352,0.7963488840359357,1067,571,0.53514526710403,0.5051452937004174,983,531,0.5401831129196337,0.5089309539050546,2.6489357331239054
3,rows,tree_uncalibrated_member_mean,0.13818162620381844,0.6189797433181168,0.31157630014259524,0.5470318502179944,0.7595549873362097,1155,0.509090909090909,0.5118303382855213,0.7262073728747439,851,446,0.5240893066980024,0.490501401827371,591,316,0.5346869712351946,0.49437770642382683,2.578138036251568
3,days,linear,0.02572628008489691,0.5447508778476167,0.4972259743497129,0.5442996427447371,0.5833966728316476,1155,0.5316017316017316,0.541821045390362,0.6880837554281933,481,274,0.5696465696465697,0.5250183883383489,11,8,0.7272727272727273,0.4343497069897538,2.3936671251491806
3,days,tree,0.033085418625968,0.5352755153823369,0.47337762117660404,0.5268395885520832,0.5822039875814679,1155,0.5298701298701298,0.5092325516841864,0.6912286764878157,318,179,0.5628930817610063,0.5079443478953943,8,5,0.625,0.3057378545838018,1.85139382241232
