strategy,fold,calibration,weight_split,objective,weights,weight_reason,eligible_grid,train_games,train_from,train_to,validation_from,validation_to,games,accuracy,roc_auc,log_loss,confidence_55_games,confidence_55_wins,confidence_55_accuracy,confidence_55_lcb,confidence_60_games,confidence_60_wins,confidence_60_accuracy,confidence_60_lcb,score
cal_rows__weights_rows__log_loss,1,rows,rows,log_loss,"{""linear"": 0.75, ""tree"": 0.05, ""run"": 0.2}",minimum_inner_log_loss,,932,2024-04-20 02:15:00+00:00,2024-06-30 23:10:00+00:00,2024-07-01 19:07:00+00:00,2024-09-29 19:20:00+00:00,1150,0.5313043478260869,0.5452688656836551,0.6988034394863332,754,406,0.5384615384615384,0.5027725921794066,368,203,0.5516304347826086,0.5005444336232481,2.635031168045446
cal_rows__weights_days__log_loss,1,rows,days,log_loss,"{""linear"": 0.05, ""tree"": 0.8, ""run"": 0.1499999999999999}",minimum_inner_log_loss,,932,2024-04-20 02:15:00+00:00,2024-06-30 23:10:00+00:00,2024-07-01 19:07:00+00:00,2024-09-29 19:20:00+00:00,1150,0.5330434782608696,0.5447423603777525,0.6970455469035671,717,394,0.5495118549511855,0.5129253149901758,320,171,0.534375,0.4796367866458866,2.5620947559585088
cal_days__weights_rows__log_loss,1,days,rows,log_loss,"{""linear"": 0.30000000000000004, ""tree"": 0.55, ""run"": 0.1499999999999999}",minimum_inner_log_loss,,932,2024-04-20 02:15:00+00:00,2024-06-30 23:10:00+00:00,2024-07-01 19:07:00+00:00,2024-09-29 19:20:00+00:00,1150,0.5226086956521739,0.5434109676501826,0.6970572979398801,696,376,0.5402298850574713,0.5030837874420928,287,153,0.5331010452961672,0.47532396485483613,2.5325132166989506
cal_days__weights_days__log_loss,1,days,days,log_loss,"{""linear"": 0.35000000000000003, ""tree"": 0.5, ""run"": 0.1499999999999999}",minimum_inner_log_loss,,932,2024-04-20 02:15:00+00:00,2024-06-30 23:10:00+00:00,2024-07-01 19:07:00+00:00,2024-09-29 19:20:00+00:00,1150,0.5252173913043479,0.5436923756585098,0.6971119932150814,705,381,0.5404255319148936,0.5035175099850093,290,156,0.5379310344827586,0.48042756057293057,2.553956544592138
cal_days__weights_days__hit_rate,1,days,days,hit_rate,"{""linear"": 0.35000000000000003, ""tree"": 0.5, ""run"": 0.1499999999999999}",insufficient_inner_evidence,0.0,932,2024-04-20 02:15:00+00:00,2024-06-30 23:10:00+00:00,2024-07-01 19:07:00+00:00,2024-09-29 19:20:00+00:00,1150,0.5252173913043479,0.5436923756585098,0.6971119932150814,705,381,0.5404255319148936,0.5035175099850093,290,156,0.5379310344827586,0.48042756057293057,2.553956544592138
cal_rows__weights_rows__log_loss,2,rows,rows,log_loss,"{""linear"": 0.1, ""tree"": 0.75, ""run"": 0.15000000000000002}",minimum_inner_log_loss,,2082,2024-04-20 02:15:00+00:00,2024-09-29 19:20:00+00:00,2025-03-18 10:10:00+00:00,2025-06-30 23:35:00+00:00,1245,0.5550200803212851,0.56743444162846,0.6831736883532967,386,236,0.6113989637305699,0.5619020249027192,35,27,0.7714285714285715,0.60982362219898,3.1457961245807753
cal_rows__weights_days__log_loss,2,rows,days,log_loss,"{""linear"": 0.2, ""tree"": 0.7000000000000001, ""run"": 0.09999999999999998}",minimum_inner_log_loss,,2082,2024-04-20 02:15:00+00:00,2024-09-29 19:20:00+00:00,2025-03-18 10:10:00+00:00,2025-06-30 23:35:00+00:00,1245,0.5630522088353414,0.5634689342568836,0.6836874918374183,396,237,0.5984848484848485,0.5494797253543585,20,14,0.7,0.4810232237710205,2.6184862441150902
cal_days__weights_rows__log_loss,2,days,rows,log_loss,"{""linear"": 0.05, ""tree"": 0.8500000000000001, ""run"": 0.09999999999999987}",minimum_inner_log_loss,,2082,2024-04-20 02:15:00+00:00,2024-09-29 19:20:00+00:00,2025-03-18 10:10:00+00:00,2025-06-30 23:35:00+00:00,1245,0.5590361445783133,0.5602398039103442,0.6846805515048578,311,191,0.6141479099678456,0.5589649853363523,11,8,0.7272727272727273,0.4343497069897538,2.439306873083162
cal_days__weights_days__log_loss,2,days,days,log_loss,"{""linear"": 0.1, ""tree"": 0.8, ""run"": 0.09999999999999998}",minimum_inner_log_loss,,2082,2024-04-20 02:15:00+00:00,2024-09-29 19:20:00+00:00,2025-03-18 10:10:00+00:00,2025-06-30 23:35:00+00:00,1245,0.5654618473895582,0.5606457219877496,0.6844793061516516,329,202,0.6139817629179332,0.560347587770654,10,8,0.8,0.49015684672072346,2.6653651994974545
cal_days__weights_days__hit_rate,2,days,days,hit_rate,"{""linear"": 0.8, ""tree"": 0.05, ""run"": 0.14999999999999997}",maximum_inner_robust_score,62.0,2082,2024-04-20 02:15:00+00:00,2024-09-29 19:20:00+00:00,2025-03-18 10:10:00+00:00,2025-06-30 23:35:00+00:00,1245,0.5590361445783133,0.5622199555571746,0.6833405681872766,666,401,0.6021021021021021,0.5644446166157535,143,87,0.6083916083916084,0.526555557348397,2.814471947954701
