outer_fold,calibration,weight_split,inner_fold,train_games,validation_games,train_to,validation_from,validation_to,used,shared_utc_day
1,rows,rows,1,188,186,2024-05-05 18:10:00+00:00,2024-05-05 18:15:00+00:00,2024-05-19 18:20:00+00:00,False,True
1,rows,rows,2,374,186,2024-05-19 18:20:00+00:00,2024-05-19 18:35:00+00:00,2024-06-02 18:20:00+00:00,False,True
1,rows,rows,3,560,186,2024-06-02 18:20:00+00:00,2024-06-02 20:05:00+00:00,2024-06-16 20:10:00+00:00,True,True
1,rows,rows,4,746,186,2024-06-16 20:10:00+00:00,2024-06-16 23:10:00+00:00,2024-06-30 23:10:00+00:00,True,True
1,rows,days,1,195,184,2024-05-05 23:10:00+00:00,2024-05-06 20:05:00+00:00,2024-05-19 23:10:00+00:00,False,False
1,rows,days,2,379,185,2024-05-19 23:10:00+00:00,2024-05-20 16:20:00+00:00,2024-06-02 23:10:00+00:00,False,False
1,rows,days,3,564,183,2024-06-02 23:10:00+00:00,2024-06-03 22:40:00+00:00,2024-06-16 23:10:00+00:00,True,False
1,rows,days,4,747,185,2024-06-16 23:10:00+00:00,2024-06-17 22:40:00+00:00,2024-06-30 23:10:00+00:00,True,False
1,days,rows,1,188,186,2024-05-05 18:10:00+00:00,2024-05-05 18:15:00+00:00,2024-05-19 18:20:00+00:00,False,True
1,days,rows,2,374,186,2024-05-19 18:20:00+00:00,2024-05-19 18:35:00+00:00,2024-06-02 18:20:00+00:00,False,True
1,days,rows,3,560,186,2024-06-02 18:20:00+00:00,2024-06-02 20:05:00+00:00,2024-06-16 20:10:00+00:00,True,True
1,days,rows,4,746,186,2024-06-16 20:10:00+00:00,2024-06-16 23:10:00+00:00,2024-06-30 23:10:00+00:00,True,True
1,days,days,1,195,184,2024-05-05 23:10:00+00:00,2024-05-06 20:05:00+00:00,2024-05-19 23:10:00+00:00,False,False
1,days,days,2,379,185,2024-05-19 23:10:00+00:00,2024-05-20 16:20:00+00:00,2024-06-02 23:10:00+00:00,False,False
1,days,days,3,564,183,2024-06-02 23:10:00+00:00,2024-06-03 22:40:00+00:00,2024-06-16 23:10:00+00:00,True,False
1,days,days,4,747,185,2024-06-16 23:10:00+00:00,2024-06-17 22:40:00+00:00,2024-06-30 23:10:00+00:00,True,False
2,rows,rows,1,418,416,2024-05-22 23:40:00+00:00,2024-05-23 01:40:00+00:00,2024-06-23 18:35:00+00:00,False,False
2,rows,rows,2,834,416,2024-06-23 18:35:00+00:00,2024-06-23 19:10:00+00:00,2024-07-28 18:10:00+00:00,True,True
2,rows,rows,3,1250,416,2024-07-28 18:10:00+00:00,2024-07-28 18:10:00+00:00,2024-08-29 19:10:00+00:00,True,True
2,rows,rows,4,1666,416,2024-08-29 19:10:00+00:00,2024-08-29 19:40:00+00:00,2024-09-29 19:20:00+00:00,True,True
