outer_fold,linear,tree,run,games,accuracy,roc_auc,log_loss,confidence_55_games,confidence_55_wins,confidence_55_accuracy,confidence_55_lcb,confidence_60_games,confidence_60_wins,confidence_60_accuracy,confidence_60_lcb,score,folds,fold_60_std,worst_fold_60_lcb,robust_score,eligible,guardrails
1,0.05,0.05,0.8999999999999999,368,0.5597826086956522,0.5596643221541341,0.7395237406982661,307,170,0.5537459283387622,0.4978149081833822,242,135,0.5578512396694215,0.49485778536608005,2.6091971198934196,2,0.0022222222222222365,0.4651745546593224,3.0699272301082976,False,False
1,0.05,0.1,0.85,368,0.5597826086956522,0.5599963775772029,0.7302338994491591,308,171,0.5551948051948052,0.49935416931159543,237,132,0.5569620253164557,0.4933098832824748,2.606502357563954,2,0.0004276550249465161,0.46535589607313604,3.071002943587197,False,False
1,0.05,0.15000000000000002,0.7999999999999999,368,0.5625,0.5602680592869864,0.7220461394705814,309,171,0.5533980582524272,0.4976484226933603,230,128,0.5565217391304348,0.49191090980772023,2.60146325181622,2,0.0028753026634382177,0.4612486640178568,3.0569613105072007,False,False
1,0.05,0.2,0.75,368,0.5570652173913043,0.5608114227065536,0.7148035986441633,303,168,0.5544554455445545,0.49815629931330185,224,126,0.5625,0.49702215701828845,2.62294067794785,2,0.00390656142868534,0.46575944163399,3.0808869967244696,False,False
1,0.05,0.25,0.7,368,0.5570652173913043,0.56180758897576,0.708391655682799,295,166,0.5627118644067797,0.5056577113755086,214,123,0.5747663551401869,0.5077830509122131,2.6750669040587898,2,0.0006988120195667302,0.4798501364705287,3.1535194164901847,False,False
1,0.05,0.30000000000000004,0.6499999999999999,368,0.5570652173913043,0.5622302049687566,0.7027231645270832,285,162,0.5684210526315789,0.5103833812778475,206,119,0.5776699029126213,0.50940214048785,2.6875294152927185,2,0.0033474776049033927,0.47684837141099295,3.1576828314939047,False,False
1,0.05,0.35000000000000003,0.5999999999999999,368,0.5489130434782609,0.5624113261086123,0.6977300578108191,280,158,0.5642857142857143,0.5057233494283888,199,115,0.5778894472361809,0.50842896122167,2.6783991892811407,2,0.0036876136593251285,0.47684837141099295,3.1478723333734835,False,False
1,0.05,0.4,0.5499999999999999,368,0.5489130434782609,0.5634980529477466,0.6933581603776314,277,159,0.5740072202166066,0.5151517691773384,186,107,0.5752688172043011,0.5034134053254504,2.66896578298359,2,0.005376344086021501,0.46847341614888394,3.1266865109604307,False,False
1,0.05,0.45,0.49999999999999994,368,0.5461956521739131,0.5641621637938841,0.6895637939493288,267,152,0.5692883895131086,0.5093237920359056,169,98,0.5798816568047337,0.5045000946873587,2.6678991915684223,2,0.011503928170594868,0.4593724052942849,3.1042637405215174,False,False
1,0.05,0.5,0.44999999999999996,368,0.5543478260869565,0.5650979563498053,0.6863114576214985,258,150,0.5813953488372093,0.5204341870728207,147,88,0.5986394557823129,0.5178620118079809,2.7350188949027774,2,0.009476031215161662,0.4788794806670461,3.1949463131395004,False,False
1,0.05,0.55,0.3999999999999999,368,0.5516304347826086,0.5660035620490838,0.683572192023867,251,145,0.5776892430278885,0.5158633314330933,139,85,0.6115107913669064,0.5285236431426338,2.773370621170102,2,0.0004145936981757581,0.49222870514874945,3.2647701389224997,False,False
1,0.05,0.6000000000000001,0.34999999999999987,368,0.5706521739130435,0.5668186071784346,0.6813223981282578,236,138,0.5847457627118644,0.5210095373731084,116,70,0.603448275862069,0.512485935226102,2.718864815588004,2,0.024492234169653515,0.45665361737846166,3.126533964627159,False,False
1,0.05,0.65,0.29999999999999993,368,0.5788043478260869,0.5673317837413591,0.6795429702890593,219,131,0.5981735159817352,0.5320877617191138,96,59,0.6145833333333334,0.5146051824336462,2.7405603020835114,2,0.012066695919262849,0.4694123578888073,3.185839268133793,False,False
1,0.05,0.7000000000000001,0.2499999999999999,368,0.5869565217391305,0.5681468288707097,0.6782186541293793,210,126,0.6,0.5325167346951202,78,47,0.6025641025641025,0.4916165517837074,2.6511745640131132,2,0.012700534759358284,0.42221304146519273,3.0479865359595895,False,True
1,0.05,0.75,0.19999999999999996,368,0.5869565217391305,0.5691429951399161,0.677337570762217,188,116,0.6170212765957447,0.5458485539853329,65,39,0.6,0.47855778499746787,2.6127463827125617,2,0.013211382113821113,0.3883433764938864,2.974666994978806,False,True
1,0.05,0.8,0.1499999999999999,368,0.5815217391304348,0.5706221511154044,0.6768908683618361,173,108,0.6242774566473989,0.5501450886306932,46,32,0.6956521739130435,0.5519408125976183,2.9100211585095073,2,0.019607843137254943,0.3906175873976139,3.2614230596326115,False,True
1,0.05,0.8500000000000001,0.09999999999999987,368,0.5760869565217391,0.5683581368672082,0.6768724749927025,166,102,0.6144578313253012,0.5386223427031571,33,25,0.7575757575757576,0.5897505131450972,3.0479747326495157,2,0.004310344827586188,0.30063605244263664,3.3399900954369803,False,True
1,0.1,0.05,0.85,368,0.5570652173913043,0.559905817007275,0.7298370494406899,308,171,0.5551948051948052,0.49935416931159543,237,132,0.5569620253164557,0.4933098832824748,2.6060110811338,2,0.0004276550249465161,0.46535589607313604,3.070511667157043,False,False
1,0.1,0.1,0.8,368,0.5597826086956522,0.5602076855737012,0.7216862405602834,308,171,0.5551948051948052,0.49935416931159543,228,128,0.5614035087719298,0.49650301066185093,2.621047791258183,2,0.007697044334975367,0.4612486640178568,3.066902366606089,False,False
1,0.1,0.15000000000000002,0.75,368,0.5570652173913043,0.5605699278534126,0.7144767996787941,302,167,0.5529801324503312,0.4965887817923157,224,126,0.5625,0.49702215701828845,2.6213660717639953,2,0.00390656142868534,0.46575944163399,3.079312390540615,False,False
1,0.1,0.2,0.7,368,0.5570652173913043,0.5614151598394059,0.7080949018752652,292,165,0.565068493150685,0.5077251765595614,213,122,0.5727699530516432,0.5056257099363471,2.6684466273599794,2,0.0013227513227513366,0.47590151019505855,3.141702634909535,False,False
1,0.1,0.25,0.65,368,0.5543478260869565,0.5622905786820419,0.7024539892890359,285,162,0.5684210526315789,0.5103833812778475,203,117,0.5763546798029556,0.5075800685699732,2.679769596521937,2,0.0005827505827505353,0.4773648481449718,3.1559689435014078,False,False
1,0.1,0.30000000000000004,0.6,368,0.5489130434782609,0.562683007818396,0.6974864432200478,280,159,0.5678571428571428,0.5093010750003216,197,114,0.5786802030456852,0.5088690794154546,2.6838676150593015,2,0.004537953795379579,0.47684837141099295,3.1516400788795353,False,False
1,0.1,0.35000000000000003,0.55,368,0.5489130434782609,0.5629546895281794,0.6931384400629118,273,157,0.575091575091575,0.5158089312359471,186,107,0.5752688172043011,0.5034134053254504,2.669503880079272,2,0.0008094357076780523,0.47353054115904897,3.141415549822965,False,False
1,0.1,0.4,0.5,368,0.5489130434782609,0.5637999215141727,0.6893665834930376,267,152,0.5692883895131086,0.5093237920359056,167,97,0.5808383233532934,0.5050074497014833,2.6704028592931346,2,0.017600574712643702,0.45340937868656955,3.0886110885544165,False,False
1,0.1,0.45,0.45,368,0.5570652173913043,0.5649470220665922,0.686135603539215,260,151,0.5807692307692308,0.5200410518667238,147,89,0.6054421768707483,0.5247119207410381,2.7625587642212714,2,0.008441558441558472,0.4857664933049152,3.2314421406430696,False,False
1,0.1,0.5,0.4,368,0.5597826086956522,0.5657016934826578,0.6834167337197298,252,146,0.5793650793650794,0.5176694421162438,138,84,0.6086956521739131,0.5253800550407692,2.764173345319302,2,0.003153247845280649,0.4893555588836079,3.2472224085123487,False,False
1,0.1,0.55,0.35,368,0.5760869565217391,0.5664865517553658,0.6811865391940389,238,139,0.5840336134453782,0.520563393892939,117,70,0.5982905982905983,0.5077003112164877,2.7002906877510395,2,0.018768328445747773,0.45665361737846166,3.1194076482380058,False,False
1,0.1,0.6000000000000001,0.29999999999999993,368,0.5788043478260869,0.5672412231714311,0.6794260567273728,219,132,0.6027397260273972,0.5366960536045231,96,60,0.625,0.5251053301827544,2.787165399506713,2,0.0026327336551119074,0.4785953826527317,3.2604953148492206,False,False
1,0.1,0.65,0.25,368,0.5869565217391305,0.56884112657349,0.6781201578573304,209,125,0.5980861244019139,0.5304237128017536,78,47,0.6025641025641025,0.4916165517837074,2.64930953068499,2,0.0023255813953488302,0.4357241958151947,3.080382563709487,False,True
1,0.1,0.7000000000000001,0.19999999999999996,368,0.5869565217391305,0.5691429951399161,0.6772570772669783,189,117,0.6190476190476191,0.5480936363663498,61,37,0.6065573770491803,0.4811702438560874,2.6254573992271046,2,0.019144144144144115,0.3883433764938864,2.9755124874327032,False,True
1,0.1,0.75,0.15000000000000002,368,0.5788043478260869,0.5704410299755487,0.6768280677351948,174,108,0.6206896551724138,0.5467211033242471,43,29,0.6744186046511628,0.5251593250655096,2.798885968597128,2,0.025568181818181823,0.35379677689163724,3.1015463818524016,False,True
